id,id_cliente,nombre_proyecto,duracion,presupuesto,recursos_asignados,resultado,fecha_inicio,fecha_fin,solvencia_economica_empresa,certificaciones_requeridas,precio_hora,fortaleza_tecnologica,experiencia_requerida,numero_perfiles_requeridos,curriculums,titulaciones_empleados,certificacion_empleados,idiomas,lugar_trabajo,horarios_trabajo,plazos,transicion_inicial,facturacion_anual,volumetria,slas,entregables_oferta,disponibilidad_referencias,informacion_adicional
14,40,Proyecto_14,203,188210.33,Recurso B,Exito,2020-01-14,2020-02-14,Alta,False,79.14,Nivel Bajo,Sin Experiencia,6,32,25%-50%,True,True,Presencial,Fijo,3,4,4421670.11,True,False,Entregable B,False,Info C
15,24,Proyecto_15,344,97670.03,Recurso C,Fracaso,2020-01-15,2020-02-15,Baja,True,36.13,Nivel Bajo,General,15,22,Menos del 25%,True,False,Presencial,Fijo,5,3,876848.81,True,True,Entregable B,True,Info B
16,3,Proyecto_16,212,112275.87,Recurso B,Exito,2020-01-16,2020-02-16,Media,True,60.76,Nivel Experto,Específica,12,13,25%-50%,False,True,Híbrido,Flexible,11,1,1152785.57,True,True,Entregable A,False,Info A
17,22,Proyecto_17,35,588823.99,Recurso B,Fracaso,2020-01-17,2020-02-17,Baja,False,99.33,Nivel Medio,General,16,47,25%-50%,True,False,Híbrido,Flexible,5,5,683872.94,False,False,Entregable B,False,Info A
18,2,Proyecto_18,182,691325.79,Recurso C,Exito,2020-01-18,2020-02-18,Baja,False,87.89,Nivel Alto,Sin Experiencia,16,23,Más del 75%,True,False,Presencial,Fijo,6,2,2229778.08,True,True,Entregable C,False,Info C
19,24,Proyecto_19,309,403405.2,Recurso C,Exito,2020-01-19,2020-02-19,Alta,False,23.28,Nivel Medio,General,4,29,Más del 75%,True,False,Presencial,Fijo,9,4,4444160.7,False,True,Entregable B,True,Info A
20,44,Proyecto_20,142,485098.11,Recurso B,Exito,2020-01-20,2020-02-20,Baja,False,75.04,Nivel Bajo,General,11,22,25%-50%,False,True,Híbrido,Flexible,1,1,1299615.22,False,False,Entregable A,True,Info C
21,30,Proyecto_21,335,689108.06,Recurso C,Fracaso,2020-01-21,2020-02-21,Media,True,44.37,Nivel Medio,Sin Experiencia,13,1,Menos del 25%,False,False,Presencial,Fijo,10,4,1900079.43,False,False,Entregable C,False,Info A
22,38,Proyecto_22,127,27205.99,Recurso B,Exito,2020-01-22,2020-02-22,Baja,True,15.59,Nivel Experto,Específica,9,29,Más del 75%,False,False,Presencial,Fijo,6,3,4238028.78,False,True,Entregable C,True,Info C
23,2,Proyecto_23,333,329899.35,Recurso B,Fracaso,2020-01-23,2020-02-23,Baja,True,49.3,Nivel Experto,Específica,4,48,25%-50%,True,True,Remoto,Fijo,1,1,3108185.63,False,False,Entregable B,False,Info C
24,21,Proyecto_24,284,973366.77,Recurso C,Exito,2020-01-24,2020-02-24,Baja,False,34.95,Nivel Alto,General,12,5,50%-75%,False,False,Híbrido,Fijo,6,1,3770501.15,False,True,Entregable C,False,Info B
25,33,Proyecto_25,221,584311.11,Recurso A,Exito,2020-01-25,2020-02-25,Alta,False,84.6,Nivel Alto,Sin Experiencia,9,35,50%-75%,False,False,Remoto,Fijo,2,1,1109300.24,False,True,Entregable B,True,Info C
26,12,Proyecto_26,234,261682.33,Recurso C,Fracaso,2020-01-26,2020-02-26,Media,True,43.67,Nivel Bajo,General,13,10,Más del 75%,True,False,Remoto,Flexible,8,2,3596624.82,True,False,Entregable B,False,Info B
27,22,Proyecto_27,29,526512.75,Recurso A,Fracaso,2020-01-27,2020-02-27,Alta,True,85.34,Nivel Alto,General,16,19,Menos del 25%,True,False,Híbrido,Flexible,11,1,1176672.36,False,True,Entregable A,True,Info A
28,44,Proyecto_28,122,349226.95,Recurso B,Fracaso,2020-01-28,2020-02-28,Alta,False,15.05,Nivel Medio,General,6,37,50%-75%,False,False,Remoto,Fijo,3,4,4937204.21,True,False,Entregable C,True,Info A
29,25,Proyecto_29,149,536922.54,Recurso B,Fracaso,2020-01-29,2020-02-29,Alta,False,41.16,Nivel Experto,Sin Experiencia,10,7,50%-75%,False,False,Presencial,Flexible,10,2,2821436.47,True,True,Entregable B,True,Info B
30,49,Proyecto_30,56,134484.1,Recurso A,Fracaso,2020-01-30,2020-03-01,Alta,True,35.5,Nivel Experto,Sin Experiencia,13,46,50%-75%,True,True,Remoto,Fijo,6,1,3493414.33,False,True,Entregable B,False,Info A
31,27,Proyecto_31,10,141387.51,Recurso B,Exito,2020-01-31,2020-03-02,Alta,True,34.85,Nivel Experto,Específica,7,35,Menos del 25%,False,False,Híbrido,Fijo,6,4,636087.84,False,True,Entregable B,False,Info B
32,42,Proyecto_32,99,152106.94,Recurso A,Exito,2020-02-01,2020-03-03,Media,True,20.8,Nivel Alto,Sin Experiencia,19,45,Menos del 25%,True,False,Presencial,Fijo,4,4,1290747.1,True,False,Entregable C,True,Info A
33,28,Proyecto_33,151,940421.59,Recurso A,Fracaso,2020-02-02,2020-03-04,Baja,False,30.91,Nivel Experto,General,19,13,Más del 75%,True,True,Presencial,Fijo,5,5,741716.26,True,False,Entregable C,True,Info B
34,16,Proyecto_34,329,735569.93,Recurso B,Exito,2020-02-03,2020-03-05,Alta,False,62.22,Nivel Experto,General,17,10,Más del 75%,False,False,Presencial,Fijo,2,4,1981345.04,False,True,Entregable C,False,Info B
35,15,Proyecto_35,47,170758.08,Recurso A,Exito,2020-02-04,2020-03-06,Alta,False,39.77,Nivel Experto,Específica,13,2,50%-75%,False,False,Presencial,Fijo,10,3,1456472.53,False,False,Entregable B,True,Info C
36,47,Proyecto_36,302,196465.59,Recurso C,Exito,2020-02-05,2020-03-07,Media,False,50.48,Nivel Bajo,Sin Experiencia,13,6,Menos del 25%,False,True,Remoto,Fijo,10,1,3677965.19,True,False,Entregable C,True,Info A
37,44,Proyecto_37,148,733521.18,Recurso C,Fracaso,2020-02-06,2020-03-08,Media,False,47.03,Nivel Bajo,General,2,8,25%-50%,False,True,Remoto,Fijo,8,1,588109.45,True,True,Entregable B,False,Info C
38,3,Proyecto_38,342,164602.21,Recurso B,Exito,2020-02-07,2020-03-09,Baja,False,89.45,Nivel Alto,Específica,10,36,50%-75%,True,True,Presencial,Fijo,10,1,3772693.87,False,False,Entregable C,False,Info B
39,37,Proyecto_39,268,242215.68,Recurso B,Exito,2020-02-08,2020-03-10,Media,True,91.95,Nivel Experto,Específica,13,25,Más del 75%,False,True,Híbrido,Flexible,7,4,276238.88,True,False,Entregable C,False,Info C
40,7,Proyecto_40,170,963713.36,Recurso A,Exito,2020-02-09,2020-03-11,Baja,True,56.9,Nivel Alto,General,9,44,Menos del 25%,False,True,Presencial,Fijo,10,4,1049988.29,True,False,Entregable B,True,Info B
41,21,Proyecto_41,187,262753.46,Recurso A,Fracaso,2020-02-10,2020-03-12,Alta,False,43.06,Nivel Experto,General,1,47,Más del 75%,False,True,Remoto,Flexible,6,1,3970226.71,False,True,Entregable C,False,Info A
42,9,Proyecto_42,19,665016.03,Recurso A,Exito,2020-02-11,2020-03-13,Alta,True,24.08,Nivel Experto,Sin Experiencia,14,40,Más del 75%,True,True,Presencial,Flexible,7,2,3726744.37,True,True,Entregable B,False,Info A
43,39,Proyecto_43,270,978844.97,Recurso A,Exito,2020-02-12,2020-03-14,Baja,False,96.04,Nivel Experto,Específica,16,7,Menos del 25%,False,False,Remoto,Fijo,1,2,2407814.26,False,False,Entregable C,False,Info A
44,18,Proyecto_44,147,380553.8,Recurso C,Fracaso,2020-02-13,2020-03-15,Media,True,20.12,Nivel Alto,General,15,46,50%-75%,False,False,Presencial,Flexible,5,3,297414.44,False,True,Entregable C,False,Info B
45,4,Proyecto_45,181,27340.83,Recurso C,Fracaso,2020-02-14,2020-03-16,Baja,False,40.3,Nivel Alto,Específica,1,23,Menos del 25%,True,False,Híbrido,Fijo,7,5,3068974.02,False,False,Entregable C,False,Info C
46,25,Proyecto_46,22,251705.82,Recurso B,Exito,2020-02-15,2020-03-17,Media,True,40.34,Nivel Experto,Sin Experiencia,17,19,50%-75%,True,True,Presencial,Fijo,1,3,2063284.31,True,True,Entregable C,False,Info A
47,14,Proyecto_47,177,832568.42,Recurso A,Exito,2020-02-16,2020-03-18,Alta,True,42.23,Nivel Medio,General,13,46,Más del 75%,True,False,Híbrido,Fijo,2,1,1616814.34,False,False,Entregable A,False,Info B
48,9,Proyecto_48,139,865962.75,Recurso A,Fracaso,2020-02-17,2020-03-19,Media,False,28.96,Nivel Alto,Sin Experiencia,15,22,Menos del 25%,True,True,Híbrido,Fijo,9,1,3220032.65,True,True,Entregable B,True,Info C
49,26,Proyecto_49,93,770834.17,Recurso B,Fracaso,2020-02-18,2020-03-20,Baja,False,81.57,Nivel Bajo,Específica,16,13,25%-50%,True,False,Presencial,Flexible,3,1,2211242.08,False,False,Entregable A,False,Info B
50,2,Proyecto_50,330,121978.72,Recurso A,Fracaso,2020-02-19,2020-03-21,Baja,True,25.41,Nivel Alto,Sin Experiencia,16,21,50%-75%,False,False,Híbrido,Flexible,6,5,507484.45,False,True,Entregable C,True,Info B
51,20,Proyecto_51,328,797555.27,Recurso A,Fracaso,2020-02-20,2020-03-22,Alta,True,68.97,Nivel Experto,Sin Experiencia,2,1,25%-50%,True,False,Híbrido,Fijo,7,4,4583954.83,True,False,Entregable C,True,Info A
52,28,Proyecto_52,110,919491.02,Recurso A,Fracaso,2020-02-21,2020-03-23,Media,False,25.53,Nivel Medio,Específica,17,19,50%-75%,True,False,Remoto,Flexible,9,5,3903540.84,True,True,Entregable B,False,Info B
53,47,Proyecto_53,338,604603.45,Recurso A,Fracaso,2020-02-22,2020-03-24,Media,True,21.0,Nivel Experto,Sin Experiencia,11,33,Menos del 25%,True,True,Remoto,Flexible,5,3,329072.05,True,True,Entregable B,True,Info B
54,7,Proyecto_54,282,941466.6,Recurso A,Fracaso,2020-02-23,2020-03-25,Media,False,92.3,Nivel Bajo,Específica,8,4,25%-50%,True,True,Híbrido,Flexible,4,4,2649066.16,False,True,Entregable B,False,Info C
55,44,Proyecto_55,274,828570.49,Recurso B,Exito,2020-02-24,2020-03-26,Alta,False,31.16,Nivel Alto,General,3,42,Menos del 25%,True,False,Presencial,Fijo,11,4,462718.94,True,False,Entregable B,True,Info A
56,8,Proyecto_56,47,670301.8,Recurso A,Fracaso,2020-02-25,2020-03-27,Media,True,84.81,Nivel Alto,Específica,12,3,50%-75%,True,True,Híbrido,Flexible,2,3,4194584.8,False,False,Entregable C,False,Info B
57,47,Proyecto_57,103,581413.38,Recurso B,Fracaso,2020-02-26,2020-03-28,Baja,False,61.29,Nivel Experto,Específica,16,27,50%-75%,True,True,Presencial,Flexible,3,4,3084419.11,True,False,Entregable B,True,Info B
58,35,Proyecto_58,104,355087.93,Recurso A,Exito,2020-02-27,2020-03-29,Media,True,21.62,Nivel Experto,General,14,41,50%-75%,True,False,Remoto,Flexible,5,2,903623.21,False,True,Entregable A,False,Info C
59,14,Proyecto_59,314,167694.57,Recurso C,Fracaso,2020-02-28,2020-03-30,Alta,True,96.21,Nivel Bajo,Específica,16,35,50%-75%,False,True,Presencial,Fijo,11,3,152669.65,False,False,Entregable B,False,Info B
60,17,Proyecto_60,78,608904.38,Recurso C,Fracaso,2020-02-29,2020-03-31,Media,False,35.99,Nivel Medio,General,17,28,Más del 75%,False,True,Híbrido,Flexible,2,3,206326.01,False,True,Entregable B,True,Info B
61,36,Proyecto_61,327,324930.44,Recurso C,Exito,2020-03-01,2020-04-01,Media,True,88.07,Nivel Bajo,General,11,6,50%-75%,False,True,Híbrido,Flexible,4,2,2561459.09,False,True,Entregable A,True,Info B
62,40,Proyecto_62,245,867774.28,Recurso C,Fracaso,2020-03-02,2020-04-02,Baja,False,29.35,Nivel Medio,Específica,17,6,25%-50%,True,True,Híbrido,Fijo,1,5,3685148.72,True,True,Entregable A,False,Info B
63,4,Proyecto_63,343,993403.57,Recurso B,Exito,2020-03-03,2020-04-03,Media,False,87.59,Nivel Alto,Sin Experiencia,19,44,50%-75%,True,False,Híbrido,Flexible,4,5,648160.23,True,False,Entregable A,True,Info B
64,2,Proyecto_64,146,754903.48,Recurso B,Exito,2020-03-04,2020-04-04,Baja,False,16.12,Nivel Medio,Sin Experiencia,1,23,Menos del 25%,True,False,Híbrido,Fijo,7,5,1145356.13,False,True,Entregable A,False,Info C
65,6,Proyecto_65,85,99576.88,Recurso A,Exito,2020-03-05,2020-04-05,Baja,True,58.5,Nivel Medio,General,12,33,Más del 75%,False,True,Presencial,Fijo,3,4,1669936.73,False,False,Entregable B,True,Info B
66,42,Proyecto_66,44,295798.74,Recurso C,Exito,2020-03-06,2020-04-06,Alta,False,80.4,Nivel Alto,Sin Experiencia,15,16,25%-50%,True,False,Híbrido,Fijo,10,2,1129480.07,True,False,Entregable A,False,Info B
67,4,Proyecto_67,10,118018.54,Recurso B,Fracaso,2020-03-07,2020-04-07,Baja,True,94.46,Nivel Alto,Sin Experiencia,18,24,Más del 75%,True,False,Remoto,Fijo,8,3,1987115.99,True,True,Entregable C,True,Info B
68,29,Proyecto_68,305,654006.53,Recurso A,Exito,2020-03-08,2020-04-08,Baja,False,92.28,Nivel Alto,Específica,14,5,Más del 75%,True,False,Híbrido,Fijo,6,3,2820094.28,True,False,Entregable B,False,Info B
69,18,Proyecto_69,329,767538.96,Recurso A,Exito,2020-03-09,2020-04-09,Alta,False,84.67,Nivel Bajo,General,1,41,Más del 75%,False,True,Presencial,Fijo,6,3,3440436.9,True,True,Entregable C,True,Info A
70,26,Proyecto_70,69,926418.08,Recurso B,Fracaso,2020-03-10,2020-04-10,Baja,False,90.5,Nivel Alto,General,13,42,Menos del 25%,False,True,Híbrido,Flexible,1,4,4820687.15,True,True,Entregable B,False,Info A
71,44,Proyecto_71,329,443790.62,Recurso C,Exito,2020-03-11,2020-04-11,Alta,True,31.93,Nivel Experto,Específica,15,13,Más del 75%,True,False,Híbrido,Fijo,5,4,4657676.16,True,False,Entregable B,True,Info A
72,34,Proyecto_72,358,902361.89,Recurso A,Exito,2020-03-12,2020-04-12,Media,True,39.16,Nivel Alto,Sin Experiencia,7,47,Más del 75%,False,False,Presencial,Flexible,3,5,2872128.53,False,True,Entregable C,False,Info A
73,10,Proyecto_73,337,879112.25,Recurso C,Exito,2020-03-13,2020-04-13,Alta,False,39.56,Nivel Alto,General,15,12,50%-75%,True,True,Híbrido,Flexible,10,4,3684042.78,True,True,Entregable A,True,Info C
74,36,Proyecto_74,276,324023.76,Recurso C,Exito,2020-03-14,2020-04-14,Baja,False,47.05,Nivel Alto,Sin Experiencia,10,5,Menos del 25%,True,False,Presencial,Fijo,1,5,4756817.41,True,True,Entregable A,True,Info A
75,14,Proyecto_75,238,870211.62,Recurso C,Fracaso,2020-03-15,2020-04-15,Alta,True,48.43,Nivel Medio,General,14,37,25%-50%,False,True,Híbrido,Flexible,8,5,463186.13,False,False,Entregable C,False,Info C
76,31,Proyecto_76,279,381915.53,Recurso A,Exito,2020-03-16,2020-04-16,Baja,True,61.29,Nivel Bajo,General,6,31,25%-50%,False,False,Remoto,Flexible,7,3,77892.06,True,False,Entregable A,True,Info A
77,48,Proyecto_77,325,303900.58,Recurso C,Fracaso,2020-03-17,2020-04-17,Media,True,28.59,Nivel Alto,General,14,28,25%-50%,False,True,Híbrido,Flexible,7,4,197508.83,True,False,Entregable B,True,Info C
78,15,Proyecto_78,295,652583.91,Recurso A,Fracaso,2020-03-18,2020-04-18,Alta,False,73.76,Nivel Bajo,General,12,28,Menos del 25%,False,True,Presencial,Fijo,10,5,2838579.34,True,True,Entregable B,False,Info A
79,8,Proyecto_79,300,335097.42,Recurso C,Exito,2020-03-19,2020-04-19,Media,True,29.24,Nivel Experto,Sin Experiencia,11,30,25%-50%,True,True,Remoto,Flexible,10,2,3826025.46,False,True,Entregable B,False,Info B
80,14,Proyecto_80,222,633906.66,Recurso A,Exito,2020-03-20,2020-04-20,Baja,False,41.38,Nivel Experto,Sin Experiencia,19,18,Menos del 25%,True,True,Presencial,Flexible,10,2,1867021.01,True,False,Entregable A,False,Info A
81,23,Proyecto_81,174,613733.49,Recurso C,Exito,2020-03-21,2020-04-21,Baja,True,57.78,Nivel Alto,Sin Experiencia,2,44,50%-75%,False,False,Híbrido,Fijo,4,4,2748933.91,False,False,Entregable A,False,Info A
82,40,Proyecto_82,14,567804.54,Recurso B,Exito,2020-03-22,2020-04-22,Media,False,82.7,Nivel Experto,Sin Experiencia,1,27,50%-75%,False,True,Remoto,Flexible,11,3,2606013.28,True,False,Entregable C,True,Info A
83,21,Proyecto_83,348,386615.51,Recurso C,Fracaso,2020-03-23,2020-04-23,Alta,False,77.85,Nivel Bajo,Específica,8,35,Menos del 25%,True,False,Presencial,Flexible,6,3,519115.91,False,False,Entregable B,True,Info B
84,16,Proyecto_84,87,553014.72,Recurso C,Fracaso,2020-03-24,2020-04-24,Alta,False,69.87,Nivel Medio,General,14,26,25%-50%,True,True,Remoto,Flexible,9,5,1641861.91,True,False,Entregable C,True,Info C
85,45,Proyecto_85,71,600520.62,Recurso A,Fracaso,2020-03-25,2020-04-25,Baja,True,28.24,Nivel Alto,General,9,39,Menos del 25%,True,True,Remoto,Fijo,3,4,146204.02,True,True,Entregable A,False,Info C
86,18,Proyecto_86,141,550230.02,Recurso A,Exito,2020-03-26,2020-04-26,Media,True,61.5,Nivel Experto,General,2,49,Menos del 25%,True,False,Presencial,Flexible,9,2,597993.16,True,False,Entregable C,True,Info B
87,47,Proyecto_87,98,449975.26,Recurso C,Fracaso,2020-03-27,2020-04-27,Media,True,22.43,Nivel Bajo,Específica,5,18,Más del 75%,False,False,Remoto,Flexible,4,5,4068698.2,False,True,Entregable A,True,Info A
88,24,Proyecto_88,246,24520.39,Recurso B,Exito,2020-03-28,2020-04-28,Alta,False,47.08,Nivel Bajo,Sin Experiencia,8,33,Menos del 25%,False,False,Presencial,Fijo,5,5,4155596.81,True,True,Entregable B,False,Info A
89,26,Proyecto_89,51,591191.09,Recurso B,Exito,2020-03-29,2020-04-29,Alta,False,50.15,Nivel Experto,General,16,25,Más del 75%,False,True,Remoto,Fijo,7,1,4019634.28,True,True,Entregable B,True,Info A
90,25,Proyecto_90,98,176759.94,Recurso A,Exito,2020-03-30,2020-04-30,Alta,True,18.38,Nivel Bajo,Sin Experiencia,16,31,50%-75%,True,True,Remoto,Fijo,6,4,3647752.27,False,True,Entregable A,True,Info C
91,45,Proyecto_91,305,646150.21,Recurso B,Exito,2020-03-31,2020-05-01,Media,False,38.29,Nivel Bajo,Sin Experiencia,13,37,Más del 75%,True,False,Remoto,Flexible,10,5,3976898.59,False,False,Entregable A,False,Info C
92,41,Proyecto_92,337,761750.88,Recurso C,Exito,2020-04-01,2020-05-02,Alta,False,96.23,Nivel Alto,Específica,15,2,Menos del 25%,False,True,Híbrido,Fijo,8,2,3371362.59,False,True,Entregable A,True,Info B
93,29,Proyecto_93,304,505440.86,Recurso A,Fracaso,2020-04-02,2020-05-03,Alta,False,96.06,Nivel Bajo,Específica,1,33,50%-75%,False,False,Híbrido,Fijo,8,1,3365675.03,True,False,Entregable B,False,Info B
94,15,Proyecto_94,113,546940.03,Recurso C,Fracaso,2020-04-03,2020-05-04,Baja,True,44.95,Nivel Experto,Sin Experiencia,3,39,Más del 75%,False,True,Presencial,Fijo,8,2,3353440.9,False,True,Entregable A,False,Info C
95,45,Proyecto_95,23,951963.77,Recurso A,Exito,2020-04-04,2020-05-05,Alta,False,18.66,Nivel Alto,General,6,43,Menos del 25%,True,True,Remoto,Flexible,3,3,2594511.81,True,False,Entregable B,True,Info A
96,1,Proyecto_96,297,848695.69,Recurso A,Fracaso,2020-04-05,2020-05-06,Alta,True,30.22,Nivel Experto,General,14,43,50%-75%,False,True,Presencial,Fijo,10,1,1848568.81,False,False,Entregable C,True,Info A
97,25,Proyecto_97,188,915094.15,Recurso A,Exito,2020-04-06,2020-05-07,Media,True,48.34,Nivel Medio,Específica,4,32,Más del 75%,True,False,Híbrido,Fijo,6,1,3664466.57,False,True,Entregable B,True,Info A
98,7,Proyecto_98,134,815628.63,Recurso A,Exito,2020-04-07,2020-05-08,Media,True,95.56,Nivel Experto,Específica,18,18,Menos del 25%,False,True,Híbrido,Fijo,7,5,1528297.77,True,False,Entregable C,False,Info A
99,9,Proyecto_99,362,117829.16,Recurso B,Exito,2020-04-08,2020-05-09,Baja,True,27.0,Nivel Experto,Específica,15,17,Menos del 25%,False,False,Híbrido,Fijo,9,3,2737365.55,True,True,Entregable B,False,Info B
100,24,Proyecto_100,32,157501.94,Recurso C,Fracaso,2020-04-09,2020-05-10,Alta,True,79.9,Nivel Alto,Específica,9,34,25%-50%,False,False,Híbrido,Fijo,10,5,2195110.32,True,False,Entregable B,True,Info B
101,1,Proyecto_101,72,531357.56,Recurso C,Exito,2020-04-10,2020-05-11,Baja,False,24.24,Nivel Bajo,Específica,18,39,25%-50%,True,True,Presencial,Flexible,10,4,1419280.27,True,True,Entregable A,True,Info C
102,44,Proyecto_102,152,253608.96,Recurso C,Exito,2020-04-11,2020-05-12,Media,True,98.41,Nivel Experto,Específica,3,7,Más del 75%,True,False,Remoto,Flexible,4,2,4874715.11,False,True,Entregable B,False,Info B
103,8,Proyecto_103,162,481928.52,Recurso A,Fracaso,2020-04-12,2020-05-13,Baja,True,47.44,Nivel Alto,Específica,10,42,Más del 75%,True,False,Presencial,Fijo,5,2,1330820.64,False,False,Entregable A,True,Info A
104,24,Proyecto_104,154,400421.67,Recurso B,Fracaso,2020-04-13,2020-05-14,Media,True,80.89,Nivel Medio,General,17,35,Más del 75%,True,True,Remoto,Fijo,8,5,1581000.67,False,False,Entregable A,True,Info C
105,11,Proyecto_105,234,553920.1,Recurso C,Fracaso,2020-04-14,2020-05-15,Baja,False,44.12,Nivel Alto,Específica,7,30,Menos del 25%,True,False,Híbrido,Fijo,1,2,849858.13,True,True,Entregable A,False,Info B
106,17,Proyecto_106,318,749406.96,Recurso B,Exito,2020-04-15,2020-05-16,Baja,False,68.35,Nivel Alto,Específica,15,12,Más del 75%,True,False,Remoto,Flexible,6,2,4123754.1,True,True,Entregable B,True,Info B
107,8,Proyecto_107,113,718336.0,Recurso A,Exito,2020-04-16,2020-05-17,Alta,False,31.32,Nivel Bajo,General,1,35,Menos del 25%,False,True,Híbrido,Flexible,4,4,2953617.53,False,False,Entregable A,True,Info B
108,35,Proyecto_108,113,526021.79,Recurso C,Fracaso,2020-04-17,2020-05-18,Baja,False,27.41,Nivel Experto,General,11,11,Más del 75%,True,True,Presencial,Flexible,5,3,3084544.32,False,True,Entregable C,True,Info B
109,35,Proyecto_109,48,824169.48,Recurso B,Exito,2020-04-18,2020-05-19,Alta,True,94.74,Nivel Medio,Sin Experiencia,17,44,Menos del 25%,False,True,Remoto,Flexible,11,1,4111778.99,True,True,Entregable C,True,Info B
110,33,Proyecto_110,207,436553.47,Recurso A,Fracaso,2020-04-19,2020-05-20,Alta,True,93.0,Nivel Alto,Específica,5,4,Menos del 25%,True,False,Presencial,Fijo,5,5,1747452.31,False,True,Entregable B,False,Info A
111,5,Proyecto_111,143,897747.15,Recurso B,Fracaso,2020-04-20,2020-05-21,Alta,False,90.43,Nivel Experto,Específica,7,25,25%-50%,False,False,Híbrido,Fijo,2,5,1008485.46,False,False,Entregable A,False,Info A
112,42,Proyecto_112,76,80567.47,Recurso C,Exito,2020-04-21,2020-05-22,Alta,False,68.16,Nivel Experto,Específica,19,48,50%-75%,False,True,Presencial,Fijo,8,4,1032106.55,False,True,Entregable C,False,Info A
113,39,Proyecto_113,188,955113.43,Recurso C,Exito,2020-04-22,2020-05-23,Baja,False,83.7,Nivel Alto,Específica,15,32,Menos del 25%,True,False,Híbrido,Fijo,2,4,3676468.12,True,True,Entregable B,False,Info B
114,41,Proyecto_114,51,658146.15,Recurso A,Fracaso,2020-04-23,2020-05-24,Media,False,20.87,Nivel Experto,Sin Experiencia,3,20,Más del 75%,False,True,Híbrido,Flexible,4,1,3089870.01,False,False,Entregable B,True,Info C
