facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,precio_hora,duracion,presupuesto,numero_perfiles_requeridos,volumetria,exito,prob_exito
Más de 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,4,228007,16,885,1,9
Más de 1M,Experto,General,Remoto,Por encima del mercado,16,388017,14,624,0,32
Menos de 250k,Experto,General,Híbrido,Por debajo del mercado,19,362908,6,783,1,29
Más de 1M,Básico,Específica,Presencial,Por encima del mercado,27,430261,12,378,1,31
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,4,114781,1,528,0,66
250k a 1M,Experto,General,Híbrido,Dentro del mercado,7,42176,11,565,0,78
Menos de 250k,Experto,General,Remoto,Por encima del mercado,16,297006,18,943,0,62
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,30,445988,12,752,0,42
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,3,153620,2,967,0,8
250k a 1M,Básico,General,Presencial,Dentro del mercado,7,51347,5,419,0,68
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,21,281741,19,175,1,45
Más de 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,21,5861,5,424,0,72
Menos de 250k,Experto,General,Remoto,Dentro del mercado,21,178770,5,766,0,47
250k a 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,8,160807,20,37,0,82
250k a 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,23,279650,19,195,0,14
250k a 1M,Experto,General,Presencial,Dentro del mercado,10,260646,20,520,0,75
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,29,59431,16,658,1,47
Más de 1M,Intermedio,General,Híbrido,Por debajo del mercado,25,116621,8,16,1,19
250k a 1M,Experto,Sin Experiencia,Híbrido,Por encima del mercado,14,114328,19,613,0,2
Menos de 250k,Básico,General,Presencial,Dentro del mercado,30,174998,6,50,0,3
Menos de 250k,Experto,Sin Experiencia,Remoto,Dentro del mercado,13,14183,9,585,1,68
Más de 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,25,422148,20,411,1,42
Más de 1M,Intermedio,Específica,Híbrido,Dentro del mercado,12,251572,11,230,0,35
250k a 1M,Básico,General,Presencial,Dentro del mercado,15,197812,14,893,1,56
Menos de 250k,Básico,Específica,Presencial,Dentro del mercado,2,241897,5,845,0,97
250k a 1M,Intermedio,General,Remoto,Dentro del mercado,13,103399,2,198,1,37
Menos de 250k,Básico,Específica,Remoto,Por debajo del mercado,35,358059,17,141,0,94
Más de 1M,Intermedio,Específica,Híbrido,Por encima del mercado,27,42824,14,506,0,15
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,19,112971,13,515,0,65
Más de 1M,Experto,Específica,Híbrido,Dentro del mercado,17,24926,4,85,0,61
Más de 1M,Básico,Específica,Remoto,Dentro del mercado,22,29167,10,530,1,1
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,9,190142,4,68,1,57
Más de 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,15,63091,6,807,1,83
Más de 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,1,468765,19,866,0,35
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,17,484562,9,323,1,74
250k a 1M,Experto,Específica,Presencial,Por encima del mercado,25,368560,17,938,1,2
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,1,433579,13,84,1,42
250k a 1M,Experto,Específica,Híbrido,Por debajo del mercado,8,11664,11,590,0,52
Más de 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,18,107301,11,251,0,92
250k a 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,25,319507,17,891,0,46
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,32,405578,3,957,1,72
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,15,263805,4,275,0,25
Menos de 250k,Experto,Específica,Remoto,Por encima del mercado,29,127123,11,444,0,13
Más de 1M,Intermedio,General,Presencial,Por encima del mercado,23,141304,5,418,0,45
Más de 1M,Básico,Específica,Remoto,Por encima del mercado,2,448245,1,53,1,21
Más de 1M,Experto,General,Presencial,Por debajo del mercado,6,8453,5,404,0,70
Más de 1M,Experto,Sin Experiencia,Presencial,Por debajo del mercado,26,381285,16,838,1,6
Más de 1M,Intermedio,Específica,Remoto,Por encima del mercado,24,323993,9,882,1,16
250k a 1M,Intermedio,General,Híbrido,Dentro del mercado,16,6175,2,204,1,77
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,30,91237,13,473,0,3
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,2,164960,13,701,0,29
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,24,177049,16,609,0,88
250k a 1M,Experto,Específica,Híbrido,Por debajo del mercado,2,434442,17,53,0,88
Menos de 250k,Básico,Específica,Remoto,Por encima del mercado,29,477868,15,321,1,61
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,4,323969,11,860,0,58
Más de 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,32,134234,5,628,1,27
Menos de 250k,Intermedio,Específica,Remoto,Por debajo del mercado,23,254692,6,410,0,65
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,4,147647,15,778,0,59
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,28,330933,8,870,1,85
Más de 1M,Intermedio,General,Presencial,Por debajo del mercado,23,449604,7,93,0,61
Menos de 250k,Intermedio,General,Presencial,Por debajo del mercado,32,370803,11,704,1,4
Menos de 250k,Experto,General,Remoto,Dentro del mercado,35,489160,5,319,1,38
250k a 1M,Básico,General,Híbrido,Por encima del mercado,7,36975,19,924,1,28
250k a 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,17,122078,9,170,0,3
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,15,397177,18,779,1,70
Más de 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,12,339075,12,23,0,91
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,1,255065,2,47,0,17
Más de 1M,Experto,Específica,Híbrido,Por encima del mercado,2,33626,19,303,1,73
250k a 1M,Básico,General,Presencial,Por debajo del mercado,16,465483,9,817,1,6
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,2,478244,1,60,1,5
250k a 1M,Intermedio,General,Híbrido,Por encima del mercado,14,244871,5,633,1,52
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,27,272590,7,305,0,94
250k a 1M,Experto,General,Remoto,Por encima del mercado,7,185808,20,826,0,96
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,20,94587,19,87,0,36
250k a 1M,Experto,Sin Experiencia,Remoto,Dentro del mercado,21,82362,15,306,0,46
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,34,494639,5,608,1,16
Más de 1M,Básico,General,Presencial,Dentro del mercado,11,63425,2,211,0,57
Menos de 250k,Básico,Sin Experiencia,Presencial,Por debajo del mercado,33,31614,5,574,1,40
Más de 1M,Básico,General,Presencial,Dentro del mercado,9,438441,11,20,0,47
250k a 1M,Básico,General,Remoto,Por encima del mercado,10,381484,3,587,1,75
Menos de 250k,Experto,Específica,Remoto,Dentro del mercado,9,98127,5,515,1,2
250k a 1M,Experto,Sin Experiencia,Presencial,Por debajo del mercado,33,121774,5,221,1,44
Menos de 250k,Básico,General,Remoto,Por encima del mercado,33,384215,9,66,0,56
250k a 1M,Básico,Específica,Híbrido,Por debajo del mercado,9,370491,6,297,0,40
250k a 1M,Experto,Sin Experiencia,Remoto,Dentro del mercado,10,442796,2,383,0,82
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,20,495426,19,836,1,5
Más de 1M,Experto,General,Remoto,Por encima del mercado,29,138856,20,79,1,0
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,36,429325,7,526,1,70
Menos de 250k,Básico,Sin Experiencia,Presencial,Por encima del mercado,32,92599,6,484,0,61
250k a 1M,Experto,Específica,Presencial,Por encima del mercado,6,447942,2,253,0,79
Más de 1M,Básico,General,Remoto,Por encima del mercado,3,295189,5,870,1,34
250k a 1M,Básico,General,Híbrido,Por debajo del mercado,11,493364,4,985,0,17
Menos de 250k,Experto,General,Presencial,Por debajo del mercado,7,193938,16,521,1,61
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,14,198236,7,406,1,8
Menos de 250k,Básico,Específica,Presencial,Dentro del mercado,4,392216,15,207,1,81
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,10,57715,4,113,0,97
Menos de 250k,Básico,Sin Experiencia,Remoto,Por encima del mercado,20,319769,18,380,1,65
250k a 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,6,16816,18,623,1,11
250k a 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,22,194482,14,504,1,18
Más de 1M,Básico,Específica,Presencial,Por encima del mercado,21,421157,6,45,1,13
Más de 1M,Experto,General,Presencial,Por debajo del mercado,25,118199,20,641,1,45
Menos de 250k,Intermedio,Específica,Híbrido,Por debajo del mercado,19,354405,13,272,1,48
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,7,397391,13,744,1,77
Más de 1M,Básico,General,Híbrido,Por debajo del mercado,6,10409,2,551,1,60
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por encima del mercado,36,460122,20,179,1,22
250k a 1M,Experto,Sin Experiencia,Híbrido,Por encima del mercado,18,274675,2,174,1,67
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,28,211653,12,164,0,4
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,23,298960,3,274,0,48
Menos de 250k,Experto,General,Presencial,Dentro del mercado,25,490925,9,12,0,1
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,34,463682,13,130,0,52
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,21,204378,16,659,1,4
Menos de 250k,Intermedio,General,Remoto,Dentro del mercado,29,366334,14,295,0,39
250k a 1M,Básico,Específica,Híbrido,Dentro del mercado,21,468644,14,440,1,34
Más de 1M,Básico,General,Presencial,Por debajo del mercado,34,210662,20,273,0,28
Menos de 250k,Básico,General,Presencial,Por encima del mercado,2,36485,16,73,0,24
Más de 1M,Básico,General,Remoto,Por debajo del mercado,18,168191,17,862,0,44
Más de 1M,Básico,General,Híbrido,Dentro del mercado,32,345729,10,697,0,30
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,4,391047,14,138,0,69
250k a 1M,Intermedio,Específica,Remoto,Dentro del mercado,35,471142,20,306,0,34
Menos de 250k,Básico,General,Presencial,Por encima del mercado,21,235056,6,887,0,86
250k a 1M,Intermedio,Específica,Remoto,Dentro del mercado,7,396413,7,808,0,2
Más de 1M,Intermedio,Específica,Híbrido,Dentro del mercado,14,218187,20,888,1,73
250k a 1M,Experto,Específica,Remoto,Dentro del mercado,20,292485,3,567,1,98
250k a 1M,Básico,General,Presencial,Por encima del mercado,4,308037,3,222,0,85
Más de 1M,Experto,Sin Experiencia,Presencial,Por debajo del mercado,24,128725,6,999,1,10
Más de 1M,Experto,General,Presencial,Por debajo del mercado,4,214918,4,896,1,57
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,29,229596,17,828,0,43
Más de 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,7,82179,1,521,1,75
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,5,310640,12,848,0,32
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,8,238600,4,26,0,87
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,33,142643,4,504,0,95
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,25,280984,15,550,1,86
Menos de 250k,Intermedio,Específica,Remoto,Dentro del mercado,18,420554,10,683,0,76
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,6,281816,12,941,0,94
Menos de 250k,Experto,Sin Experiencia,Híbrido,Dentro del mercado,2,72421,19,600,1,18
Menos de 250k,Básico,General,Presencial,Por debajo del mercado,28,66450,19,665,1,50
250k a 1M,Intermedio,Específica,Remoto,Por debajo del mercado,18,232650,3,942,0,52
Menos de 250k,Experto,General,Remoto,Por encima del mercado,21,322199,7,590,1,80
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,4,377598,16,507,1,66
Más de 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,33,165887,13,198,1,78
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por encima del mercado,28,208695,6,946,1,1
Menos de 250k,Intermedio,Específica,Presencial,Dentro del mercado,15,7717,16,852,0,71
250k a 1M,Experto,General,Remoto,Por debajo del mercado,13,352818,16,19,1,53
250k a 1M,Básico,General,Presencial,Por encima del mercado,20,442676,8,656,1,7
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,3,291359,7,260,0,76
Más de 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,10,296211,19,348,0,12
Menos de 250k,Básico,Sin Experiencia,Remoto,Por encima del mercado,18,26661,19,352,1,93
250k a 1M,Básico,General,Remoto,Por encima del mercado,31,324686,13,47,1,99
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,19,337009,7,856,0,7
250k a 1M,Básico,Específica,Presencial,Dentro del mercado,34,462295,4,270,1,39
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,13,434956,11,452,1,75
Menos de 250k,Experto,General,Remoto,Por debajo del mercado,3,298100,16,827,0,53
Menos de 250k,Experto,Sin Experiencia,Remoto,Por debajo del mercado,34,32781,15,534,0,3
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,31,450750,5,37,1,80
Más de 1M,Intermedio,Específica,Remoto,Dentro del mercado,21,138111,19,513,1,22
Más de 1M,Básico,Específica,Híbrido,Por encima del mercado,27,233382,4,791,0,1
250k a 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,30,111182,7,771,1,47
Menos de 250k,Experto,Específica,Remoto,Por debajo del mercado,29,256297,19,667,0,47
Menos de 250k,Básico,Sin Experiencia,Presencial,Dentro del mercado,22,306796,8,367,1,72
Menos de 250k,Básico,Sin Experiencia,Remoto,Dentro del mercado,2,445764,12,976,0,85
Más de 1M,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,29,488305,9,34,0,52
250k a 1M,Experto,General,Remoto,Por encima del mercado,26,381567,9,180,1,88
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,29,332811,17,363,1,44
Más de 1M,Experto,Específica,Presencial,Por debajo del mercado,26,306671,4,932,0,7
Más de 1M,Intermedio,General,Presencial,Dentro del mercado,28,434734,19,918,1,81
Menos de 250k,Básico,General,Presencial,Por debajo del mercado,13,473204,9,890,0,43
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,25,317325,10,651,0,40
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,25,446044,5,606,1,11
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,3,350657,20,225,1,54
250k a 1M,Intermedio,General,Presencial,Por debajo del mercado,10,168926,11,973,0,61
250k a 1M,Experto,General,Remoto,Dentro del mercado,10,374381,4,21,0,68
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,18,494128,6,158,1,66
Más de 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,23,125886,2,637,1,84
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,5,373870,6,677,0,47
250k a 1M,Básico,General,Remoto,Dentro del mercado,8,335254,19,877,0,23
250k a 1M,Experto,General,Remoto,Por debajo del mercado,4,304420,18,971,1,66
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,9,461172,7,293,0,17
Menos de 250k,Experto,Sin Experiencia,Presencial,Por encima del mercado,23,424599,10,798,1,69
Menos de 250k,Básico,General,Presencial,Por encima del mercado,36,438373,3,97,1,53
Menos de 250k,Básico,General,Presencial,Por debajo del mercado,25,124714,5,185,0,69
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,5,434699,6,391,0,48
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,22,375689,16,332,1,40
Menos de 250k,Básico,General,Presencial,Dentro del mercado,2,356378,10,240,0,67
Menos de 250k,Experto,Sin Experiencia,Presencial,Por encima del mercado,8,112682,14,878,0,25
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,21,313142,8,648,0,60
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,15,335153,8,54,1,72
Menos de 250k,Intermedio,General,Híbrido,Por encima del mercado,22,149647,11,859,0,98
Más de 1M,Básico,General,Presencial,Por encima del mercado,16,232173,13,327,1,67
250k a 1M,Intermedio,Específica,Remoto,Por encima del mercado,20,200023,1,255,0,31
250k a 1M,Experto,General,Híbrido,Dentro del mercado,12,268871,5,23,0,18
Más de 1M,Experto,General,Presencial,Dentro del mercado,23,189014,15,425,0,100
250k a 1M,Intermedio,General,Remoto,Por encima del mercado,1,371324,5,949,0,37
250k a 1M,Básico,General,Remoto,Por debajo del mercado,6,24302,7,790,1,23
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,28,152866,17,661,0,65
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,8,70633,9,636,0,99
Más de 1M,Experto,Específica,Presencial,Por debajo del mercado,8,11113,3,100,1,25
Más de 1M,Básico,General,Presencial,Dentro del mercado,5,447936,4,854,0,20
250k a 1M,Básico,Específica,Remoto,Dentro del mercado,27,346452,4,617,0,72
Menos de 250k,Intermedio,General,Remoto,Por encima del mercado,33,150104,5,922,0,33
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,1,26712,20,703,0,12
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,28,221764,5,71,0,39
250k a 1M,Experto,Específica,Remoto,Por encima del mercado,4,355068,11,737,0,92
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,8,121831,8,432,1,69
Menos de 250k,Básico,General,Híbrido,Por encima del mercado,35,207913,1,608,0,38
Más de 1M,Básico,Específica,Presencial,Por encima del mercado,6,232619,5,140,0,98
Menos de 250k,Experto,Específica,Remoto,Dentro del mercado,17,27017,4,44,1,85
Menos de 250k,Intermedio,Específica,Presencial,Por debajo del mercado,26,260773,8,310,1,52
Más de 1M,Básico,Específica,Híbrido,Por debajo del mercado,30,69376,12,569,0,64
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,26,336085,11,628,1,58
Más de 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,28,86992,17,69,1,69
Más de 1M,Experto,General,Remoto,Por encima del mercado,8,458392,6,701,0,63
Menos de 250k,Experto,Sin Experiencia,Remoto,Por debajo del mercado,21,356745,12,527,1,79
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,36,234478,10,542,1,66
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,18,357336,17,923,0,5
Más de 1M,Básico,General,Híbrido,Dentro del mercado,9,293413,1,657,1,60
Menos de 250k,Experto,General,Remoto,Por encima del mercado,11,383183,9,464,0,65
Menos de 250k,Básico,Específica,Presencial,Por encima del mercado,6,460524,16,649,0,100
250k a 1M,Experto,General,Presencial,Dentro del mercado,16,359943,19,451,0,4
Más de 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,10,360562,18,548,0,31
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,9,398561,4,528,1,82
Menos de 250k,Básico,Específica,Presencial,Por debajo del mercado,7,64655,15,807,1,51
Menos de 250k,Básico,Específica,Remoto,Por debajo del mercado,9,117779,7,256,1,60
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,26,266750,10,324,1,83
Más de 1M,Experto,Específica,Presencial,Dentro del mercado,4,346667,3,249,0,57
250k a 1M,Intermedio,General,Remoto,Dentro del mercado,4,17908,6,629,1,86
Más de 1M,Básico,General,Presencial,Por debajo del mercado,33,124076,7,422,0,95
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,14,410315,4,28,0,48
Más de 1M,Experto,General,Presencial,Dentro del mercado,11,228623,20,336,1,58
Más de 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,22,28322,9,750,0,45
Menos de 250k,Básico,Específica,Híbrido,Por debajo del mercado,17,197477,19,638,1,3
Menos de 250k,Básico,Específica,Presencial,Por encima del mercado,23,138381,12,85,1,25
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,29,463311,20,205,0,72
250k a 1M,Experto,General,Presencial,Por debajo del mercado,32,482225,5,620,0,11
Más de 1M,Básico,General,Presencial,Por encima del mercado,13,150334,10,506,1,4
Menos de 250k,Intermedio,Específica,Remoto,Por debajo del mercado,18,222338,15,228,1,37
Más de 1M,Experto,Específica,Remoto,Por debajo del mercado,28,115023,9,794,1,14
250k a 1M,Básico,General,Remoto,Dentro del mercado,28,178349,5,147,0,56
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,14,208334,1,266,1,88
250k a 1M,Básico,Específica,Híbrido,Dentro del mercado,8,493232,5,222,1,7
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,15,223575,9,494,0,70
Menos de 250k,Intermedio,General,Híbrido,Dentro del mercado,21,405262,1,65,0,51
Menos de 250k,Experto,Específica,Presencial,Por encima del mercado,24,462772,10,335,0,86
Más de 1M,Experto,Sin Experiencia,Híbrido,Por encima del mercado,2,125034,15,189,0,78
250k a 1M,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,32,133364,2,960,0,89
Menos de 250k,Experto,General,Híbrido,Por debajo del mercado,32,423816,5,602,0,29
Menos de 250k,Experto,Específica,Híbrido,Dentro del mercado,7,355631,12,353,1,77
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,6,461247,18,986,0,79
Más de 1M,Básico,General,Híbrido,Por debajo del mercado,15,494018,14,322,0,63
Menos de 250k,Básico,Sin Experiencia,Presencial,Dentro del mercado,17,291627,2,263,1,59
250k a 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,1,181338,3,567,0,42
250k a 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,7,218854,3,272,0,63
Menos de 250k,Básico,Sin Experiencia,Presencial,Por encima del mercado,28,34553,13,890,1,2
250k a 1M,Experto,General,Remoto,Dentro del mercado,9,221102,7,163,0,70
250k a 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,33,463969,20,974,0,12
250k a 1M,Básico,General,Remoto,Por encima del mercado,34,341525,11,154,0,77
250k a 1M,Básico,Sin Experiencia,Híbrido,Por encima del mercado,19,195701,13,771,1,97
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,22,103312,20,919,0,57
Menos de 250k,Experto,Sin Experiencia,Presencial,Por debajo del mercado,32,384927,18,16,1,11
250k a 1M,Básico,Específica,Remoto,Por encima del mercado,32,218046,18,476,1,32
250k a 1M,Intermedio,Específica,Remoto,Por encima del mercado,1,304631,5,732,1,28
Menos de 250k,Básico,Sin Experiencia,Presencial,Por debajo del mercado,28,92707,19,331,1,26
Menos de 250k,Intermedio,Específica,Remoto,Por debajo del mercado,29,390814,2,971,0,66
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,33,105732,5,800,0,93
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,7,474345,20,973,0,90
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,15,59167,16,865,1,56
Menos de 250k,Experto,Específica,Remoto,Por debajo del mercado,11,305139,16,534,1,35
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,30,39593,15,176,0,21
250k a 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,2,389922,11,683,1,84
250k a 1M,Básico,General,Presencial,Dentro del mercado,16,127520,15,649,0,31
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,33,50796,13,187,1,27
250k a 1M,Experto,Específica,Presencial,Por debajo del mercado,27,16169,4,276,0,84
Menos de 250k,Experto,General,Remoto,Por encima del mercado,10,357951,4,113,0,76
Menos de 250k,Básico,Específica,Remoto,Por debajo del mercado,10,483161,15,654,1,31
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por encima del mercado,11,289929,10,123,0,94
Más de 1M,Experto,Sin Experiencia,Remoto,Dentro del mercado,6,477373,2,599,1,9
Más de 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,35,20114,12,960,0,55
Menos de 250k,Experto,Sin Experiencia,Remoto,Por debajo del mercado,13,382215,20,851,1,54
Menos de 250k,Experto,General,Presencial,Por debajo del mercado,1,465814,3,512,0,91
Menos de 250k,Básico,General,Híbrido,Por encima del mercado,32,476170,10,658,0,4
Menos de 250k,Básico,Sin Experiencia,Remoto,Dentro del mercado,8,445802,7,763,0,66
Menos de 250k,Experto,Específica,Híbrido,Dentro del mercado,25,463107,6,856,1,87
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,34,424810,9,71,0,48
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,22,423549,4,432,1,10
Más de 1M,Experto,General,Presencial,Por debajo del mercado,29,481291,1,375,0,30
Más de 1M,Experto,General,Presencial,Por debajo del mercado,7,84764,4,227,1,86
Menos de 250k,Intermedio,Específica,Remoto,Dentro del mercado,4,27961,6,378,1,35
Más de 1M,Intermedio,General,Presencial,Dentro del mercado,4,201597,15,993,1,0
