duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito
59,195551,Menos de 250k,Básico,General,Remoto,5,Dentro del mercado,0,34
14,529954,250k a 1M,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,1,67
26,541427,Menos de 250k,Intermedio,Específica,Remoto,10,Dentro del mercado,1,76
41,705471,Más de 1M,Intermedio,Específica,Remoto,10,Por encima del mercado,0,80
7,865039,Menos de 250k,Experto,Sin Experiencia,Remoto,6,Dentro del mercado,1,100
51,694574,Más de 1M,Experto,General,Remoto,2,Dentro del mercado,1,100
47,789553,250k a 1M,Experto,General,Remoto,3,Dentro del mercado,1,100
57,978318,Más de 1M,Intermedio,General,Presencial,10,Dentro del mercado,0,75
7,813220,Menos de 250k,Intermedio,Sin Experiencia,Presencial,4,Dentro del mercado,1,75
12,797814,Menos de 250k,Intermedio,Sin Experiencia,Presencial,3,Dentro del mercado,0,47
40,907142,250k a 1M,Intermedio,Sin Experiencia,Presencial,6,Dentro del mercado,0,62
32,563781,Menos de 250k,Intermedio,Sin Experiencia,Remoto,6,Por debajo del mercado,1,55
48,104653,Menos de 250k,Intermedio,General,Remoto,1,Por encima del mercado,0,30
8,493484,Menos de 250k,Experto,Específica,Presencial,1,Dentro del mercado,1,97
46,988595,250k a 1M,Experto,Sin Experiencia,Remoto,10,Dentro del mercado,1,100
14,577070,Menos de 250k,Intermedio,General,Presencial,7,Dentro del mercado,0,53
25,433113,Más de 1M,Básico,General,Remoto,4,Por debajo del mercado,0,57
21,576013,Menos de 250k,Experto,Sin Experiencia,Presencial,5,Dentro del mercado,0,57
19,718160,250k a 1M,Experto,Sin Experiencia,Presencial,6,Dentro del mercado,1,98
50,650001,250k a 1M,Intermedio,General,Remoto,4,Dentro del mercado,1,97
17,697990,250k a 1M,Intermedio,General,Remoto,2,Dentro del mercado,0,83
44,372675,Más de 1M,Experto,Sin Experiencia,Remoto,3,Por encima del mercado,1,94
41,186528,250k a 1M,Intermedio,Sin Experiencia,Remoto,1,Dentro del mercado,0,51
54,720478,Más de 1M,Básico,Específica,Presencial,9,Por encima del mercado,0,57
33,292962,Menos de 250k,Básico,Sin Experiencia,Remoto,1,Por encima del mercado,0,8
31,638315,250k a 1M,Intermedio,Específica,Presencial,9,Por debajo del mercado,0,60
27,747064,Más de 1M,Intermedio,Sin Experiencia,Remoto,6,Por encima del mercado,1,88
47,749584,250k a 1M,Intermedio,General,Remoto,1,Dentro del mercado,1,92
48,424267,250k a 1M,Básico,Sin Experiencia,Remoto,9,Dentro del mercado,0,41
30,400621,Menos de 250k,Básico,Específica,Presencial,3,Dentro del mercado,1,55
52,307997,Menos de 250k,Intermedio,Sin Experiencia,Remoto,4,Dentro del mercado,0,40
46,786428,250k a 1M,Intermedio,Sin Experiencia,Remoto,10,Dentro del mercado,1,81
8,607882,Más de 1M,Experto,General,Remoto,10,Dentro del mercado,1,100
55,553592,Más de 1M,Básico,Específica,Presencial,5,Por debajo del mercado,1,82
22,274014,250k a 1M,Básico,Sin Experiencia,Presencial,9,Dentro del mercado,0,33
10,396848,Menos de 250k,Básico,Sin Experiencia,Presencial,9,Dentro del mercado,0,25
9,797182,250k a 1M,Experto,General,Presencial,7,Por encima del mercado,1,100
17,183673,Menos de 250k,Experto,Específica,Remoto,7,Por debajo del mercado,0,70
12,253669,Más de 1M,Intermedio,Específica,Presencial,9,Por encima del mercado,1,93
9,179711,250k a 1M,Intermedio,General,Presencial,8,Por encima del mercado,1,78
39,369477,Menos de 250k,Experto,Sin Experiencia,Remoto,3,Dentro del mercado,1,74
59,478060,250k a 1M,Básico,Sin Experiencia,Remoto,9,Dentro del mercado,0,42
32,725058,Menos de 250k,Básico,General,Presencial,8,Por encima del mercado,1,39
21,999367,Menos de 250k,Básico,Sin Experiencia,Remoto,2,Dentro del mercado,0,39
35,994081,Menos de 250k,Básico,General,Remoto,10,Dentro del mercado,0,40
60,975862,250k a 1M,Básico,Específica,Remoto,1,Por debajo del mercado,1,82
58,551831,250k a 1M,Intermedio,Sin Experiencia,Remoto,7,Por debajo del mercado,0,53
58,224119,250k a 1M,Experto,General,Presencial,7,Dentro del mercado,1,91
45,493935,Menos de 250k,Experto,General,Presencial,6,Por debajo del mercado,0,48
45,407171,Más de 1M,Básico,General,Presencial,1,Dentro del mercado,1,71
34,479697,250k a 1M,Experto,General,Presencial,1,Por debajo del mercado,0,62
44,108004,Menos de 250k,Básico,General,Presencial,2,Dentro del mercado,1,37
58,852373,250k a 1M,Experto,Sin Experiencia,Remoto,2,Por debajo del mercado,0,72
48,845143,Más de 1M,Intermedio,Sin Experiencia,Remoto,5,Por encima del mercado,0,72
52,359528,Menos de 250k,Básico,General,Remoto,6,Dentro del mercado,1,56
23,207751,Menos de 250k,Experto,Específica,Presencial,1,Por debajo del mercado,1,72
56,665807,Menos de 250k,Básico,Sin Experiencia,Remoto,6,Por encima del mercado,0,22
37,992566,Menos de 250k,Básico,Sin Experiencia,Remoto,7,Dentro del mercado,1,56
11,294659,250k a 1M,Intermedio,Sin Experiencia,Remoto,8,Dentro del mercado,0,70
51,446713,250k a 1M,Básico,General,Remoto,6,Por encima del mercado,1,67
19,484753,250k a 1M,Intermedio,Sin Experiencia,Remoto,10,Dentro del mercado,0,60
21,321991,250k a 1M,Básico,Específica,Presencial,9,Por debajo del mercado,0,44
48,753541,250k a 1M,Básico,General,Remoto,3,Por encima del mercado,0,52
38,441391,Menos de 250k,Intermedio,Específica,Remoto,9,Dentro del mercado,1,76
12,162618,Menos de 250k,Básico,General,Presencial,2,Dentro del mercado,0,28
54,751105,250k a 1M,Intermedio,General,Presencial,9,Por debajo del mercado,0,53
19,604078,250k a 1M,Experto,General,Presencial,2,Por encima del mercado,0,72
22,757096,250k a 1M,Básico,General,Remoto,5,Por debajo del mercado,1,81
49,648412,Menos de 250k,Intermedio,General,Remoto,9,Por encima del mercado,0,40
45,291453,250k a 1M,Básico,General,Presencial,4,Dentro del mercado,1,64
9,356386,250k a 1M,Intermedio,Específica,Remoto,9,Dentro del mercado,0,90
24,605213,Más de 1M,Básico,Sin Experiencia,Remoto,3,Dentro del mercado,1,79
6,963538,Menos de 250k,Básico,Sin Experiencia,Remoto,6,Por debajo del mercado,0,43
59,923553,250k a 1M,Básico,General,Presencial,6,Por encima del mercado,0,47
48,656311,250k a 1M,Básico,Específica,Presencial,8,Dentro del mercado,1,78
11,793218,250k a 1M,Intermedio,Específica,Presencial,2,Dentro del mercado,1,100
15,212723,Más de 1M,Intermedio,General,Remoto,7,Por debajo del mercado,1,96
17,406500,250k a 1M,Intermedio,Sin Experiencia,Presencial,4,Por encima del mercado,0,52
13,855860,Más de 1M,Básico,General,Presencial,7,Dentro del mercado,0,74
13,105033,250k a 1M,Básico,Sin Experiencia,Presencial,3,Por debajo del mercado,1,49
18,375571,250k a 1M,Básico,General,Presencial,9,Dentro del mercado,0,45
40,537742,250k a 1M,Experto,Sin Experiencia,Presencial,1,Dentro del mercado,1,83
12,823146,Menos de 250k,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,1,55
50,544486,Menos de 250k,Intermedio,General,Remoto,5,Por encima del mercado,1,66
58,579172,Más de 1M,Intermedio,Específica,Presencial,4,Dentro del mercado,1,100
22,567297,250k a 1M,Intermedio,General,Presencial,5,Por encima del mercado,1,82
6,584638,250k a 1M,Básico,General,Presencial,8,Por encima del mercado,1,71
50,124939,250k a 1M,Intermedio,Sin Experiencia,Remoto,9,Dentro del mercado,0,50
49,188201,250k a 1M,Intermedio,Específica,Remoto,3,Por encima del mercado,0,65
42,877623,250k a 1M,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,1,62
59,771777,Menos de 250k,Intermedio,Sin Experiencia,Presencial,1,Dentro del mercado,0,33
58,639347,Menos de 250k,Básico,Sin Experiencia,Presencial,1,Por encima del mercado,0,5
57,557077,250k a 1M,Intermedio,General,Remoto,2,Dentro del mercado,1,91
13,924931,Más de 1M,Básico,Sin Experiencia,Remoto,7,Dentro del mercado,0,75
26,952761,Menos de 250k,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,1,44
56,968815,250k a 1M,Intermedio,General,Remoto,6,Por debajo del mercado,1,93
19,384975,250k a 1M,Intermedio,General,Presencial,6,Dentro del mercado,1,86
10,495565,Más de 1M,Intermedio,General,Presencial,7,Por debajo del mercado,1,96
34,523569,250k a 1M,Intermedio,Específica,Presencial,3,Por encima del mercado,1,82
57,955392,250k a 1M,Intermedio,General,Remoto,6,Dentro del mercado,0,83
56,390433,250k a 1M,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,0,32
20,188734,250k a 1M,Intermedio,Específica,Remoto,5,Dentro del mercado,0,84
29,434754,250k a 1M,Intermedio,Sin Experiencia,Presencial,6,Por debajo del mercado,0,42
34,360110,Menos de 250k,Básico,General,Presencial,5,Por encima del mercado,0,18
20,469628,250k a 1M,Intermedio,General,Remoto,5,Por encima del mercado,1,90
9,211837,Más de 1M,Intermedio,General,Remoto,1,Por debajo del mercado,1,97
10,422138,250k a 1M,Intermedio,General,Presencial,4,Dentro del mercado,1,97
27,727414,250k a 1M,Intermedio,General,Presencial,4,Por encima del mercado,1,78
57,346925,250k a 1M,Experto,Sin Experiencia,Remoto,6,Dentro del mercado,1,95
55,413524,Menos de 250k,Intermedio,Sin Experiencia,Remoto,1,Dentro del mercado,1,56
42,936681,250k a 1M,Experto,Específica,Remoto,5,Dentro del mercado,1,100
31,689643,250k a 1M,Básico,Sin Experiencia,Remoto,9,Por debajo del mercado,1,56
49,223213,250k a 1M,Experto,General,Remoto,10,Dentro del mercado,0,75
38,531918,250k a 1M,Básico,General,Remoto,6,Dentro del mercado,1,79
23,395189,250k a 1M,Experto,General,Remoto,6,Dentro del mercado,1,100
28,235284,Más de 1M,Experto,Sin Experiencia,Presencial,8,Por encima del mercado,0,59
16,793528,250k a 1M,Intermedio,Sin Experiencia,Remoto,10,Por encima del mercado,0,61
27,800901,Menos de 250k,Básico,Sin Experiencia,Presencial,5,Por debajo del mercado,1,37
58,714724,250k a 1M,Básico,General,Presencial,7,Por encima del mercado,1,61
11,807740,Menos de 250k,Experto,Sin Experiencia,Presencial,5,Por debajo del mercado,1,82
6,462655,Más de 1M,Básico,General,Presencial,2,Dentro del mercado,0,69
60,689973,250k a 1M,Básico,Sin Experiencia,Presencial,1,Dentro del mercado,1,56
48,584777,250k a 1M,Intermedio,General,Remoto,9,Por encima del mercado,0,59
41,626178,250k a 1M,Intermedio,Específica,Presencial,6,Dentro del mercado,0,76
26,519803,Menos de 250k,Intermedio,Sin Experiencia,Presencial,7,Dentro del mercado,1,52
46,801390,250k a 1M,Básico,General,Presencial,2,Dentro del mercado,1,71
15,403213,250k a 1M,Intermedio,General,Presencial,6,Por encima del mercado,1,82
46,293772,250k a 1M,Intermedio,Sin Experiencia,Presencial,3,Dentro del mercado,1,67
53,623609,250k a 1M,Experto,Específica,Presencial,2,Dentro del mercado,1,100
30,267708,Más de 1M,Experto,Sin Experiencia,Remoto,10,Dentro del mercado,1,96
6,642987,250k a 1M,Experto,General,Presencial,6,Por debajo del mercado,1,100
52,924390,250k a 1M,Experto,General,Presencial,5,Por debajo del mercado,1,99
46,133007,250k a 1M,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,1,47
29,352050,250k a 1M,Intermedio,General,Presencial,9,Dentro del mercado,0,55
19,955046,250k a 1M,Intermedio,Sin Experiencia,Presencial,1,Dentro del mercado,0,62
36,786265,Menos de 250k,Intermedio,Sin Experiencia,Remoto,6,Dentro del mercado,0,49
40,925864,Menos de 250k,Intermedio,Sin Experiencia,Remoto,6,Por encima del mercado,1,62
54,953787,250k a 1M,Intermedio,Específica,Presencial,3,Dentro del mercado,0,81
15,508120,250k a 1M,Básico,General,Remoto,4,Por encima del mercado,1,79
37,124307,Más de 1M,Básico,Específica,Presencial,5,Dentro del mercado,0,63
13,872112,250k a 1M,Básico,Sin Experiencia,Remoto,1,Por debajo del mercado,1,70
55,141632,250k a 1M,Experto,Sin Experiencia,Remoto,5,Dentro del mercado,0,73
19,219818,250k a 1M,Básico,General,Presencial,7,Dentro del mercado,0,46
60,665497,Más de 1M,Intermedio,Específica,Remoto,9,Dentro del mercado,1,100
60,889220,250k a 1M,Básico,Específica,Presencial,4,Por encima del mercado,0,56
29,576921,250k a 1M,Básico,Específica,Remoto,5,Por debajo del mercado,0,62
59,403443,250k a 1M,Experto,General,Remoto,10,Dentro del mercado,1,99
52,145229,250k a 1M,Intermedio,Sin Experiencia,Remoto,4,Dentro del mercado,0,56
46,142387,250k a 1M,Básico,Sin Experiencia,Presencial,10,Dentro del mercado,0,23
34,864607,Menos de 250k,Básico,Sin Experiencia,Presencial,7,Por encima del mercado,1,34
17,418375,250k a 1M,Básico,General,Presencial,9,Por debajo del mercado,1,61
45,420592,250k a 1M,Básico,General,Presencial,9,Dentro del mercado,0,41
7,365400,250k a 1M,Básico,General,Presencial,8,Dentro del mercado,0,57
55,788682,Más de 1M,Intermedio,Sin Experiencia,Remoto,10,Por encima del mercado,0,61
43,275548,250k a 1M,Básico,General,Remoto,1,Por encima del mercado,0,38
13,847494,250k a 1M,Básico,Sin Experiencia,Presencial,9,Dentro del mercado,1,69
55,976206,250k a 1M,Intermedio,Específica,Remoto,7,Dentro del mercado,1,100
9,319162,250k a 1M,Intermedio,Específica,Presencial,6,Dentro del mercado,0,85
37,603541,Menos de 250k,Intermedio,Sin Experiencia,Presencial,5,Dentro del mercado,1,58
15,819951,250k a 1M,Intermedio,Específica,Presencial,8,Por debajo del mercado,0,76
44,316081,250k a 1M,Intermedio,Sin Experiencia,Presencial,8,Dentro del mercado,1,66
43,260665,Más de 1M,Intermedio,Específica,Presencial,4,Por encima del mercado,1,89
26,171755,250k a 1M,Experto,General,Remoto,6,Por encima del mercado,0,72
22,611916,Más de 1M,Básico,Sin Experiencia,Presencial,9,Dentro del mercado,0,50
45,329243,Más de 1M,Básico,Sin Experiencia,Remoto,6,Dentro del mercado,0,55
14,252837,Menos de 250k,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,1,44
23,873827,Más de 1M,Básico,Específica,Presencial,5,Por encima del mercado,0,73
54,823737,Más de 1M,Básico,General,Remoto,10,Por debajo del mercado,1,77
26,469185,250k a 1M,Intermedio,Específica,Remoto,5,Por debajo del mercado,0,75
47,651524,Más de 1M,Experto,Sin Experiencia,Remoto,5,Por debajo del mercado,1,100
7,456226,250k a 1M,Básico,Sin Experiencia,Remoto,3,Por encima del mercado,1,71
7,969315,Menos de 250k,Intermedio,Sin Experiencia,Presencial,1,Dentro del mercado,1,72
26,331817,250k a 1M,Experto,General,Presencial,2,Dentro del mercado,1,91
34,535339,250k a 1M,Intermedio,Sin Experiencia,Presencial,5,Dentro del mercado,1,76
19,188259,Menos de 250k,Experto,Sin Experiencia,Remoto,2,Dentro del mercado,0,53
8,891797,Más de 1M,Intermedio,General,Presencial,5,Por encima del mercado,0,88
58,284350,Menos de 250k,Experto,Específica,Remoto,4,Dentro del mercado,1,94
56,757679,Más de 1M,Básico,General,Presencial,4,Dentro del mercado,0,64
50,292235,250k a 1M,Experto,General,Remoto,5,Por encima del mercado,1,96
34,509945,250k a 1M,Intermedio,Sin Experiencia,Presencial,10,Por debajo del mercado,1,56
47,267496,Menos de 250k,Intermedio,Específica,Remoto,7,Por debajo del mercado,1,67
31,763730,250k a 1M,Básico,General,Remoto,10,Dentro del mercado,0,56
49,754699,Menos de 250k,Básico,Específica,Remoto,4,Por encima del mercado,0,44
16,166794,250k a 1M,Experto,General,Presencial,7,Dentro del mercado,1,100
50,334373,250k a 1M,Intermedio,Sin Experiencia,Presencial,4,Por debajo del mercado,0,40
14,947382,Menos de 250k,Intermedio,Específica,Presencial,6,Por debajo del mercado,1,82
49,675808,Menos de 250k,Intermedio,General,Remoto,10,Dentro del mercado,1,69
12,553579,Menos de 250k,Intermedio,General,Remoto,10,Dentro del mercado,1,77
32,162502,250k a 1M,Experto,Sin Experiencia,Presencial,7,Dentro del mercado,1,80
30,547057,250k a 1M,Básico,General,Presencial,10,Dentro del mercado,0,41
50,118278,Más de 1M,Intermedio,General,Remoto,3,Por encima del mercado,0,64
16,423647,250k a 1M,Básico,General,Remoto,10,Dentro del mercado,1,79
40,893425,250k a 1M,Básico,Específica,Presencial,9,Dentro del mercado,1,80
60,439955,250k a 1M,Básico,General,Presencial,1,Dentro del mercado,0,41
53,668828,Más de 1M,Básico,Específica,Presencial,10,Por debajo del mercado,1,74
38,237767,Más de 1M,Intermedio,General,Presencial,9,Dentro del mercado,0,62
24,816751,Menos de 250k,Básico,Sin Experiencia,Remoto,5,Dentro del mercado,1,57
23,129316,250k a 1M,Básico,General,Presencial,5,Dentro del mercado,0,48
20,704276,250k a 1M,Experto,General,Remoto,7,Por encima del mercado,0,86
8,163261,Más de 1M,Básico,Sin Experiencia,Remoto,5,Por encima del mercado,0,59
58,621571,Menos de 250k,Experto,Sin Experiencia,Remoto,5,Por debajo del mercado,1,73
14,668032,250k a 1M,Básico,Sin Experiencia,Remoto,10,Por encima del mercado,1,64
11,952111,Más de 1M,Intermedio,Sin Experiencia,Remoto,10,Dentro del mercado,0,90
55,585488,Menos de 250k,Intermedio,General,Presencial,4,Por debajo del mercado,1,55
20,641155,Menos de 250k,Experto,Sin Experiencia,Presencial,2,Dentro del mercado,1,72
13,987072,Menos de 250k,Intermedio,General,Presencial,2,Dentro del mercado,1,79
9,571665,250k a 1M,Experto,Específica,Remoto,10,Dentro del mercado,0,100
11,973465,250k a 1M,Experto,Sin Experiencia,Presencial,9,Dentro del mercado,0,87
20,479412,Menos de 250k,Intermedio,General,Presencial,8,Por debajo del mercado,0,34
13,537454,250k a 1M,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,0,49
15,808757,Menos de 250k,Básico,Sin Experiencia,Remoto,1,Dentro del mercado,0,39
24,721380,Menos de 250k,Experto,Sin Experiencia,Remoto,7,Por debajo del mercado,1,71
9,825137,Más de 1M,Básico,Sin Experiencia,Presencial,7,Por encima del mercado,1,78
42,348135,250k a 1M,Experto,Sin Experiencia,Presencial,5,Dentro del mercado,0,67
32,473595,Más de 1M,Intermedio,Sin Experiencia,Remoto,9,Dentro del mercado,1,87
59,366204,Más de 1M,Básico,Sin Experiencia,Remoto,2,Dentro del mercado,1,72
59,834760,Menos de 250k,Intermedio,General,Presencial,8,Por debajo del mercado,1,56
50,736043,250k a 1M,Experto,Sin Experiencia,Remoto,6,Dentro del mercado,1,100
49,319265,Menos de 250k,Intermedio,Sin Experiencia,Remoto,6,Dentro del mercado,0,40
29,134687,250k a 1M,Básico,General,Remoto,6,Por debajo del mercado,1,61
48,255111,Menos de 250k,Experto,Sin Experiencia,Remoto,10,Por debajo del mercado,1,56
59,496248,Menos de 250k,Experto,General,Remoto,2,Dentro del mercado,1,84
24,235735,250k a 1M,Intermedio,Específica,Presencial,6,Por encima del mercado,0,58
50,436210,Menos de 250k,Intermedio,Sin Experiencia,Presencial,5,Por encima del mercado,0,24
12,198558,250k a 1M,Básico,Específica,Remoto,5,Dentro del mercado,0,74
33,521317,Menos de 250k,Básico,Sin Experiencia,Presencial,8,Por encima del mercado,1,25
58,857572,250k a 1M,Básico,Sin Experiencia,Presencial,4,Dentro del mercado,0,46
7,118463,250k a 1M,Intermedio,General,Remoto,9,Dentro del mercado,1,95
27,270384,250k a 1M,Experto,Sin Experiencia,Presencial,9,Dentro del mercado,0,58
50,985259,250k a 1M,Básico,Sin Experiencia,Remoto,5,Dentro del mercado,1,80
58,227293,250k a 1M,Básico,General,Presencial,9,Por debajo del mercado,1,47
18,891020,Más de 1M,Intermedio,General,Presencial,7,Dentro del mercado,1,100
60,982712,Más de 1M,Intermedio,Sin Experiencia,Presencial,1,Dentro del mercado,0,67
13,347923,250k a 1M,Intermedio,Sin Experiencia,Presencial,5,Por encima del mercado,1,72
30,487342,Más de 1M,Intermedio,General,Presencial,5,Por debajo del mercado,1,85
39,222000,Más de 1M,Intermedio,General,Presencial,4,Dentro del mercado,0,68
49,449198,Más de 1M,Intermedio,Sin Experiencia,Presencial,3,Por encima del mercado,0,50
