duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito,exito
33,328778,Más de 1M,Básico,Sin Experiencia,Remoto,18,Por debajo del mercado,0,100.0,1
45,648789,Menos de 250k,Básico,Específica,Remoto,1,Por debajo del mercado,0,93.6,1
42,220104,Entre 250k y 1M,Básico,Específica,Híbrido,16,Dentro del mercado,0,100.0,1
25,373303,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,17,Dentro del mercado,0,63.6,0
50,612047,Entre 250k y 1M,Intermedio,Sin Experiencia,Remoto,11,Dentro del mercado,0,98.4,1
52,226879,Menos de 250k,Experto,Sin Experiencia,Híbrido,5,Por encima del mercado,0,100.0,1
45,596124,Menos de 250k,Intermedio,General,Remoto,1,Por encima del mercado,1,100.0,1
48,550055,Más de 1M,Intermedio,General,Híbrido,17,Por debajo del mercado,0,96.7,1
32,946415,Menos de 250k,Experto,Sin Experiencia,Híbrido,5,Por debajo del mercado,0,100.0,1
12,625790,Entre 250k y 1M,Básico,Específica,Híbrido,15,Por debajo del mercado,0,100.0,1
37,91356,Entre 250k y 1M,Experto,Específica,Híbrido,12,Por encima del mercado,1,71.2,1
53,365873,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,12,Por debajo del mercado,1,99.1,1
44,351254,Entre 250k y 1M,Básico,General,Remoto,11,Dentro del mercado,0,78.0,1
39,347956,Entre 250k y 1M,Básico,Específica,Híbrido,10,Por debajo del mercado,1,55.4,0
55,458120,Entre 250k y 1M,Intermedio,General,Remoto,5,Dentro del mercado,0,77.2,1
46,81202,Entre 250k y 1M,Experto,General,Presencial,18,Por encima del mercado,0,97.1,1
52,735339,Menos de 250k,Experto,Específica,Presencial,14,Por debajo del mercado,1,100.0,1
54,117195,Menos de 250k,Experto,Específica,Remoto,2,Por debajo del mercado,1,97.5,1
50,616677,Menos de 250k,Básico,Específica,Híbrido,9,Dentro del mercado,0,89.9,1
43,112776,Más de 1M,Básico,Específica,Presencial,8,Por debajo del mercado,0,100.0,1
45,424814,Menos de 250k,Experto,Específica,Remoto,3,Por encima del mercado,0,100.0,1
54,814556,Menos de 250k,Básico,Específica,Presencial,6,Por debajo del mercado,1,100.0,1
38,139396,Entre 250k y 1M,Básico,General,Presencial,18,Por debajo del mercado,0,79.8,1
35,322342,Menos de 250k,Básico,Sin Experiencia,Presencial,3,Por debajo del mercado,1,78.0,1
44,125765,Más de 1M,Intermedio,Específica,Híbrido,3,Dentro del mercado,1,100.0,1
14,617345,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,19,Dentro del mercado,0,98.0,1
60,277952,Entre 250k y 1M,Intermedio,General,Presencial,9,Por debajo del mercado,0,63.5,0
53,95506,Más de 1M,Básico,Específica,Híbrido,7,Por encima del mercado,1,100.0,1
23,608471,Entre 250k y 1M,Intermedio,Específica,Presencial,2,Dentro del mercado,1,100.0,1
58,994358,Menos de 250k,Experto,Sin Experiencia,Híbrido,15,Por debajo del mercado,1,100.0,1
17,582763,Más de 1M,Experto,Específica,Remoto,10,Por encima del mercado,1,73.1,1
43,771106,Menos de 250k,Básico,Específica,Remoto,6,Por debajo del mercado,0,100.0,1
54,690942,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,3,Dentro del mercado,1,70.1,1
28,531982,Más de 1M,Experto,Específica,Remoto,1,Dentro del mercado,0,100.0,1
22,593610,Más de 1M,Experto,General,Híbrido,6,Por debajo del mercado,1,91.4,1
33,96868,Entre 250k y 1M,Intermedio,Específica,Híbrido,15,Por debajo del mercado,1,100.0,1
33,183546,Más de 1M,Básico,Sin Experiencia,Presencial,5,Por encima del mercado,1,100.0,1
47,347754,Entre 250k y 1M,Intermedio,Específica,Remoto,4,Por encima del mercado,0,92.4,1
37,328094,Más de 1M,Intermedio,Específica,Presencial,1,Por encima del mercado,0,100.0,1
16,976725,Menos de 250k,Intermedio,Específica,Presencial,9,Dentro del mercado,1,68.6,0
58,402186,Menos de 250k,Básico,Específica,Remoto,18,Dentro del mercado,0,65.1,0
41,623096,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,1,Por debajo del mercado,0,100.0,1
36,485603,Entre 250k y 1M,Intermedio,General,Remoto,10,Dentro del mercado,0,96.3,1
48,335645,Entre 250k y 1M,Experto,General,Remoto,2,Por debajo del mercado,1,100.0,1
33,704545,Más de 1M,Intermedio,Específica,Remoto,18,Dentro del mercado,0,100.0,1
13,239144,Entre 250k y 1M,Básico,Específica,Remoto,12,Por debajo del mercado,1,100.0,1
24,635424,Entre 250k y 1M,Básico,Específica,Híbrido,16,Dentro del mercado,0,92.5,1
49,249666,Entre 250k y 1M,Básico,General,Presencial,13,Por debajo del mercado,0,100.0,1
17,987837,Menos de 250k,Básico,Específica,Remoto,11,Por debajo del mercado,1,100.0,1
52,881221,Menos de 250k,Intermedio,Específica,Presencial,5,Por debajo del mercado,0,62.4,0
35,275415,Más de 1M,Básico,General,Híbrido,19,Por encima del mercado,1,100.0,1
12,655811,Entre 250k y 1M,Básico,General,Remoto,5,Por debajo del mercado,0,100.0,1
34,530892,Más de 1M,Experto,Específica,Presencial,8,Dentro del mercado,1,100.0,1
26,480144,Menos de 250k,Intermedio,Específica,Remoto,20,Por encima del mercado,1,100.0,1
37,307844,Menos de 250k,Básico,General,Remoto,8,Por encima del mercado,0,100.0,1
46,70273,Menos de 250k,Intermedio,Sin Experiencia,Presencial,8,Dentro del mercado,0,100.0,1
44,227183,Entre 250k y 1M,Intermedio,General,Remoto,14,Por debajo del mercado,0,100.0,1
58,333476,Más de 1M,Experto,Sin Experiencia,Presencial,11,Por debajo del mercado,1,77.4,1
15,485639,Entre 250k y 1M,Básico,General,Remoto,13,Por debajo del mercado,1,91.5,1
52,697830,Entre 250k y 1M,Básico,General,Remoto,2,Por debajo del mercado,1,71.1,1
30,573673,Menos de 250k,Básico,General,Híbrido,19,Dentro del mercado,0,77.6,1
43,104908,Menos de 250k,Intermedio,Específica,Híbrido,10,Por encima del mercado,1,78.9,1
60,404542,Menos de 250k,Experto,Sin Experiencia,Híbrido,12,Por debajo del mercado,0,100.0,1
52,348499,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,5,Por debajo del mercado,0,100.0,1
58,594784,Entre 250k y 1M,Experto,Sin Experiencia,Remoto,4,Por encima del mercado,0,97.5,1
26,800891,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,8,Por encima del mercado,1,100.0,1
46,83049,Menos de 250k,Intermedio,Sin Experiencia,Remoto,2,Por debajo del mercado,1,100.0,1
42,256941,Menos de 250k,Experto,Específica,Remoto,6,Dentro del mercado,0,100.0,1
23,554244,Menos de 250k,Intermedio,General,Remoto,16,Por encima del mercado,0,100.0,1
21,190952,Más de 1M,Intermedio,General,Híbrido,2,Por encima del mercado,0,100.0,1
46,988331,Menos de 250k,Intermedio,Sin Experiencia,Remoto,16,Dentro del mercado,0,95.6,1
40,710348,Entre 250k y 1M,Intermedio,General,Presencial,8,Dentro del mercado,1,100.0,1
36,433389,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,6,Por encima del mercado,0,100.0,1
60,777679,Menos de 250k,Intermedio,Específica,Presencial,12,Por debajo del mercado,0,76.4,1
41,423230,Menos de 250k,Experto,General,Presencial,13,Dentro del mercado,0,99.8,1
14,439088,Menos de 250k,Básico,General,Híbrido,6,Por encima del mercado,0,100.0,1
12,389004,Más de 1M,Experto,General,Remoto,10,Por encima del mercado,0,100.0,1
20,956947,Menos de 250k,Experto,General,Presencial,3,Dentro del mercado,1,77.4,1
41,626669,Menos de 250k,Experto,Específica,Híbrido,17,Dentro del mercado,1,75.6,1
24,431794,Menos de 250k,Básico,General,Remoto,1,Dentro del mercado,1,100.0,1
13,961786,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,11,Por debajo del mercado,0,100.0,1
28,677445,Menos de 250k,Experto,General,Presencial,11,Dentro del mercado,0,93.2,1
34,819075,Más de 1M,Experto,Sin Experiencia,Remoto,14,Dentro del mercado,1,100.0,1
55,99115,Entre 250k y 1M,Intermedio,Específica,Presencial,8,Por encima del mercado,1,60.1,0
29,171486,Más de 1M,Experto,Sin Experiencia,Presencial,8,Por debajo del mercado,1,100.0,1
39,721131,Menos de 250k,Básico,Sin Experiencia,Híbrido,2,Por debajo del mercado,0,56.7,0
52,755691,Más de 1M,Intermedio,Específica,Remoto,1,Dentro del mercado,0,87.2,1
38,710831,Más de 1M,Básico,Sin Experiencia,Remoto,5,Por debajo del mercado,1,68.8,0
12,998417,Entre 250k y 1M,Intermedio,Específica,Híbrido,11,Por debajo del mercado,1,92.9,1
18,664035,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,6,Por debajo del mercado,0,100.0,1
51,236899,Más de 1M,Experto,Sin Experiencia,Presencial,8,Dentro del mercado,0,96.2,1
16,999800,Entre 250k y 1M,Básico,Específica,Híbrido,19,Dentro del mercado,0,78.6,1
44,392038,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,19,Dentro del mercado,0,100.0,1
34,316745,Menos de 250k,Básico,Específica,Remoto,9,Por debajo del mercado,1,100.0,1
57,249775,Más de 1M,Intermedio,General,Remoto,17,Por encima del mercado,0,76.5,1
17,587200,Más de 1M,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,1,87.9,1
17,786042,Entre 250k y 1M,Básico,General,Presencial,18,Por encima del mercado,1,100.0,1
39,401097,Menos de 250k,Experto,Específica,Presencial,3,Por debajo del mercado,1,100.0,1
12,749145,Más de 1M,Intermedio,Sin Experiencia,Remoto,20,Por encima del mercado,0,72.5,1
46,819455,Entre 250k y 1M,Intermedio,Específica,Híbrido,11,Por debajo del mercado,1,98.1,1
36,743909,Menos de 250k,Intermedio,Específica,Remoto,18,Por debajo del mercado,1,100.0,1
16,312110,Entre 250k y 1M,Básico,Específica,Remoto,18,Por debajo del mercado,0,73.5,1
46,545438,Entre 250k y 1M,Básico,Específica,Híbrido,18,Dentro del mercado,1,100.0,1
56,349460,Entre 250k y 1M,Básico,Específica,Presencial,11,Por debajo del mercado,1,100.0,1
52,792086,Más de 1M,Intermedio,Sin Experiencia,Híbrido,12,Dentro del mercado,0,95.3,1
37,616599,Más de 1M,Experto,General,Híbrido,15,Por debajo del mercado,0,82.3,1
13,836447,Más de 1M,Experto,General,Presencial,12,Por debajo del mercado,1,99.7,1
32,951251,Menos de 250k,Experto,Específica,Remoto,1,Dentro del mercado,1,100.0,1
28,638555,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,3,Dentro del mercado,0,63.6,0
42,971678,Entre 250k y 1M,Experto,Sin Experiencia,Remoto,5,Dentro del mercado,0,75.5,1
14,649413,Menos de 250k,Básico,General,Híbrido,17,Dentro del mercado,0,100.0,1
60,285668,Menos de 250k,Básico,General,Híbrido,2,Por debajo del mercado,0,100.0,1
47,965020,Entre 250k y 1M,Experto,Específica,Remoto,14,Por debajo del mercado,1,79.4,1
33,389223,Menos de 250k,Intermedio,Sin Experiencia,Presencial,14,Dentro del mercado,0,100.0,1
38,770869,Más de 1M,Básico,General,Remoto,1,Por debajo del mercado,0,85.0,1
34,567062,Más de 1M,Básico,General,Presencial,17,Por encima del mercado,0,100.0,1
13,850948,Entre 250k y 1M,Intermedio,Sin Experiencia,Híbrido,18,Por debajo del mercado,0,85.0,1
52,693515,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,10,Por debajo del mercado,0,91.7,1
52,414693,Menos de 250k,Intermedio,Sin Experiencia,Remoto,9,Por debajo del mercado,1,62.4,0
22,954784,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,19,Dentro del mercado,1,100.0,1
38,821185,Entre 250k y 1M,Básico,Específica,Híbrido,5,Por debajo del mercado,0,68.5,0
16,495002,Entre 250k y 1M,Intermedio,Específica,Presencial,4,Por encima del mercado,0,100.0,1
57,782508,Más de 1M,Básico,Específica,Presencial,3,Por encima del mercado,0,100.0,1
55,422883,Más de 1M,Experto,General,Presencial,18,Por encima del mercado,0,97.7,1
21,844697,Entre 250k y 1M,Básico,Específica,Presencial,3,Dentro del mercado,1,98.6,1
35,567941,Menos de 250k,Experto,Sin Experiencia,Híbrido,1,Dentro del mercado,0,71.1,1
54,562369,Más de 1M,Experto,General,Híbrido,14,Por encima del mercado,1,75.2,1
27,945524,Entre 250k y 1M,Experto,Específica,Presencial,19,Por encima del mercado,0,68.5,0
59,109098,Entre 250k y 1M,Experto,General,Presencial,12,Por encima del mercado,0,100.0,1
17,664809,Menos de 250k,Experto,General,Remoto,19,Por encima del mercado,1,100.0,1
52,696014,Entre 250k y 1M,Básico,General,Híbrido,4,Por encima del mercado,1,90.4,1
15,725937,Entre 250k y 1M,Intermedio,General,Remoto,16,Por encima del mercado,0,100.0,1
60,156195,Menos de 250k,Experto,Específica,Presencial,1,Dentro del mercado,1,92.7,1
45,990740,Más de 1M,Básico,General,Remoto,10,Por debajo del mercado,1,100.0,1
36,447449,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,12,Por encima del mercado,0,78.1,1
46,631425,Entre 250k y 1M,Intermedio,General,Remoto,2,Dentro del mercado,0,100.0,1
31,196949,Menos de 250k,Intermedio,General,Remoto,8,Dentro del mercado,0,71.4,1
21,608155,Menos de 250k,Intermedio,General,Presencial,18,Por encima del mercado,0,100.0,1
53,960365,Entre 250k y 1M,Básico,Específica,Híbrido,3,Por debajo del mercado,0,100.0,1
30,355450,Menos de 250k,Básico,Sin Experiencia,Remoto,8,Por encima del mercado,0,79.4,1
36,567625,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,10,Dentro del mercado,0,77.0,1
35,121987,Entre 250k y 1M,Intermedio,Específica,Remoto,20,Por encima del mercado,0,100.0,1
20,337352,Más de 1M,Básico,Sin Experiencia,Híbrido,11,Por encima del mercado,1,100.0,1
46,351008,Más de 1M,Experto,Específica,Remoto,11,Dentro del mercado,1,76.0,1
33,173533,Menos de 250k,Intermedio,Sin Experiencia,Remoto,8,Dentro del mercado,1,100.0,1
45,180238,Más de 1M,Básico,Específica,Remoto,6,Por encima del mercado,1,100.0,1
19,236124,Más de 1M,Experto,Sin Experiencia,Remoto,4,Por debajo del mercado,1,100.0,1
52,567817,Más de 1M,Intermedio,General,Remoto,5,Por debajo del mercado,0,82.1,1
22,424648,Entre 250k y 1M,Intermedio,Específica,Híbrido,16,Por debajo del mercado,1,98.3,1
49,201460,Más de 1M,Básico,Sin Experiencia,Híbrido,6,Dentro del mercado,1,100.0,1
36,756411,Más de 1M,Intermedio,Sin Experiencia,Híbrido,16,Por encima del mercado,0,100.0,1
39,708434,Menos de 250k,Básico,Específica,Remoto,20,Por debajo del mercado,1,100.0,1
15,428790,Menos de 250k,Intermedio,General,Híbrido,11,Por encima del mercado,1,90.8,1
59,788673,Más de 1M,Experto,Específica,Híbrido,5,Por debajo del mercado,0,91.9,1
20,121692,Menos de 250k,Experto,General,Remoto,17,Dentro del mercado,0,100.0,1
41,711371,Menos de 250k,Experto,Específica,Híbrido,9,Dentro del mercado,1,100.0,1
54,882962,Más de 1M,Básico,General,Presencial,16,Dentro del mercado,1,100.0,1
13,746472,Menos de 250k,Básico,Específica,Híbrido,1,Por debajo del mercado,1,100.0,1
34,945712,Menos de 250k,Intermedio,Específica,Presencial,2,Dentro del mercado,1,82.9,1
40,275197,Más de 1M,Básico,Sin Experiencia,Híbrido,3,Dentro del mercado,1,100.0,1
59,423540,Entre 250k y 1M,Experto,General,Híbrido,14,Por debajo del mercado,1,66.4,0
59,131017,Más de 1M,Intermedio,Específica,Presencial,10,Por encima del mercado,0,100.0,1
58,508560,Más de 1M,Básico,General,Remoto,20,Por debajo del mercado,0,93.8,1
57,166112,Más de 1M,Experto,Específica,Híbrido,5,Dentro del mercado,1,100.0,1
54,748451,Menos de 250k,Básico,General,Híbrido,7,Dentro del mercado,1,82.1,1
40,735528,Entre 250k y 1M,Intermedio,General,Híbrido,16,Dentro del mercado,0,100.0,1
31,502608,Menos de 250k,Intermedio,General,Híbrido,18,Dentro del mercado,1,89.5,1
39,107342,Menos de 250k,Experto,Específica,Remoto,6,Por debajo del mercado,0,100.0,1
13,790603,Menos de 250k,Básico,Sin Experiencia,Híbrido,13,Por encima del mercado,1,75.9,1
22,511290,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,20,Por debajo del mercado,0,100.0,1
45,783366,Menos de 250k,Experto,Sin Experiencia,Presencial,11,Por debajo del mercado,1,98.7,1
32,232563,Más de 1M,Básico,Sin Experiencia,Presencial,8,Por encima del mercado,1,100.0,1
45,590166,Menos de 250k,Intermedio,Sin Experiencia,Presencial,16,Por debajo del mercado,0,97.9,1
44,987969,Entre 250k y 1M,Intermedio,Específica,Presencial,16,Por encima del mercado,1,97.8,1
47,300493,Más de 1M,Básico,Sin Experiencia,Híbrido,14,Dentro del mercado,1,100.0,1
20,112924,Menos de 250k,Experto,Sin Experiencia,Presencial,5,Por encima del mercado,0,100.0,1
33,274151,Entre 250k y 1M,Básico,Específica,Híbrido,2,Por debajo del mercado,0,100.0,1
44,598428,Entre 250k y 1M,Básico,Específica,Híbrido,8,Por encima del mercado,1,76.9,1
18,217692,Menos de 250k,Básico,Sin Experiencia,Remoto,20,Por encima del mercado,1,100.0,1
46,238280,Entre 250k y 1M,Básico,Específica,Híbrido,19,Por debajo del mercado,1,74.8,1
58,98551,Más de 1M,Experto,Específica,Presencial,11,Por encima del mercado,0,100.0,1
35,726553,Menos de 250k,Básico,General,Remoto,3,Por debajo del mercado,1,100.0,1
26,772757,Entre 250k y 1M,Intermedio,General,Híbrido,6,Por encima del mercado,1,100.0,1
48,54423,Entre 250k y 1M,Experto,Específica,Remoto,8,Dentro del mercado,1,75.6,1
33,623838,Más de 1M,Intermedio,Específica,Híbrido,9,Por encima del mercado,0,83.3,1
17,215267,Entre 250k y 1M,Básico,General,Presencial,2,Por debajo del mercado,0,74.8,1
29,866243,Entre 250k y 1M,Intermedio,General,Híbrido,8,Por encima del mercado,0,58.2,0
44,174645,Entre 250k y 1M,Básico,Específica,Híbrido,15,Por debajo del mercado,0,100.0,1
27,307578,Más de 1M,Intermedio,Sin Experiencia,Presencial,20,Por debajo del mercado,0,100.0,1
25,404655,Entre 250k y 1M,Experto,Específica,Presencial,17,Por encima del mercado,1,100.0,1
32,87907,Menos de 250k,Intermedio,Sin Experiencia,Remoto,15,Dentro del mercado,1,100.0,1
28,613443,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,14,Por encima del mercado,0,70.4,1
37,814007,Entre 250k y 1M,Experto,General,Remoto,19,Por encima del mercado,0,100.0,1
14,910949,Menos de 250k,Intermedio,Sin Experiencia,Presencial,12,Por debajo del mercado,0,100.0,1
44,995151,Más de 1M,Básico,General,Presencial,13,Por encima del mercado,0,100.0,1
17,296599,Menos de 250k,Básico,Específica,Presencial,10,Dentro del mercado,1,92.4,1
24,551408,Más de 1M,Experto,Específica,Presencial,2,Dentro del mercado,1,100.0,1
44,898122,Más de 1M,Intermedio,Específica,Presencial,3,Dentro del mercado,0,100.0,1
24,449665,Más de 1M,Intermedio,General,Presencial,12,Por debajo del mercado,1,95.6,1
60,411724,Más de 1M,Básico,General,Híbrido,3,Por encima del mercado,1,100.0,1
13,243054,Menos de 250k,Intermedio,General,Híbrido,3,Por encima del mercado,1,71.1,1
24,387456,Entre 250k y 1M,Experto,General,Presencial,18,Por debajo del mercado,0,84.3,1
29,99971,Menos de 250k,Experto,Específica,Remoto,9,Por debajo del mercado,1,82.0,1
48,196395,Menos de 250k,Experto,Sin Experiencia,Híbrido,6,Por encima del mercado,0,100.0,1
26,499959,Más de 1M,Intermedio,General,Remoto,7,Dentro del mercado,0,100.0,1
17,298283,Más de 1M,Experto,Específica,Híbrido,8,Por debajo del mercado,0,96.2,1
50,950790,Más de 1M,Básico,Específica,Presencial,1,Dentro del mercado,0,100.0,1
32,593784,Menos de 250k,Intermedio,General,Híbrido,17,Dentro del mercado,0,100.0,1
17,179673,Menos de 250k,Intermedio,Específica,Remoto,16,Por encima del mercado,1,87.1,1
33,902521,Entre 250k y 1M,Experto,General,Presencial,1,Por encima del mercado,1,75.9,1
47,335898,Más de 1M,Intermedio,General,Remoto,17,Por debajo del mercado,0,100.0,1
46,690772,Más de 1M,Experto,Sin Experiencia,Presencial,19,Por encima del mercado,1,60.5,0
20,959775,Más de 1M,Intermedio,Específica,Remoto,1,Por encima del mercado,0,100.0,1
46,118001,Entre 250k y 1M,Experto,General,Presencial,1,Por debajo del mercado,1,52.6,0
20,858443,Más de 1M,Intermedio,Sin Experiencia,Híbrido,2,Dentro del mercado,0,82.3,1
42,715014,Más de 1M,Experto,Específica,Remoto,10,Por debajo del mercado,0,87.5,1
43,611963,Entre 250k y 1M,Experto,General,Remoto,2,Dentro del mercado,1,82.3,1
58,120317,Menos de 250k,Intermedio,General,Remoto,16,Por encima del mercado,1,62.0,0
37,68582,Más de 1M,Básico,General,Presencial,15,Dentro del mercado,1,91.6,1
13,627797,Más de 1M,Experto,General,Híbrido,18,Dentro del mercado,0,74.3,1
28,816680,Más de 1M,Experto,Específica,Presencial,16,Por debajo del mercado,0,83.3,1
57,694239,Entre 250k y 1M,Intermedio,Específica,Remoto,20,Por debajo del mercado,0,76.9,1
48,142921,Más de 1M,Experto,Sin Experiencia,Híbrido,8,Por debajo del mercado,1,93.8,1
43,417716,Entre 250k y 1M,Experto,General,Híbrido,14,Dentro del mercado,0,86.6,1
33,211819,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,11,Por encima del mercado,0,100.0,1
37,760736,Menos de 250k,Intermedio,Sin Experiencia,Remoto,14,Dentro del mercado,0,78.3,1
26,974897,Más de 1M,Básico,Sin Experiencia,Híbrido,8,Por debajo del mercado,1,81.7,1
44,840689,Entre 250k y 1M,Experto,Específica,Híbrido,19,Por debajo del mercado,1,71.3,1
20,793378,Más de 1M,Básico,General,Presencial,7,Por encima del mercado,1,100.0,1
51,510435,Entre 250k y 1M,Intermedio,General,Remoto,4,Dentro del mercado,1,100.0,1
52,909592,Menos de 250k,Intermedio,Específica,Híbrido,6,Por encima del mercado,1,100.0,1
12,599754,Más de 1M,Básico,Específica,Remoto,18,Por encima del mercado,1,100.0,1
50,479900,Entre 250k y 1M,Intermedio,Específica,Presencial,15,Por debajo del mercado,0,99.4,1
50,526238,Menos de 250k,Experto,Específica,Presencial,6,Por debajo del mercado,0,100.0,1
43,106967,Más de 1M,Experto,Sin Experiencia,Presencial,6,Dentro del mercado,1,56.0,0
33,104788,Menos de 250k,Experto,Específica,Híbrido,13,Por encima del mercado,1,81.9,1
56,289491,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,14,Dentro del mercado,1,100.0,1
49,118654,Entre 250k y 1M,Experto,Específica,Presencial,16,Por debajo del mercado,1,87.9,1
19,709871,Entre 250k y 1M,Intermedio,Sin Experiencia,Híbrido,3,Por debajo del mercado,1,100.0,1
56,224271,Menos de 250k,Intermedio,Específica,Híbrido,13,Dentro del mercado,0,100.0,1
15,68779,Menos de 250k,Intermedio,Sin Experiencia,Remoto,2,Por encima del mercado,0,100.0,1
35,951453,Más de 1M,Experto,General,Presencial,4,Por encima del mercado,0,56.3,0
