duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,exito,prob_exito
22,1905619,Menos de 250k,Básico,Específica,Presencial,5,Dentro del mercado,79,0,52.76
12,1246632,250k a 1M,Básico,General,Remoto,7,Por encima del mercado,87,1,39.16
17,1112636,250k a 1M,Intermedio,General,Híbrido,10,Dentro del mercado,77,0,31.5
10,1836921,Más de 1M,Básico,Específica,Presencial,10,Dentro del mercado,99,1,56.29
16,1575848,Menos de 250k,Básico,Sin Experiencia,Presencial,9,Dentro del mercado,26,0,37.59
15,1617121,Menos de 250k,Básico,General,Presencial,13,Por debajo del mercado,28,0,37.34
15,879735,Menos de 250k,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,60,1,26.26
19,1288855,250k a 1M,Básico,General,Remoto,5,Dentro del mercado,79,0,35.89
12,780406,250k a 1M,Intermedio,Específica,Remoto,10,Por debajo del mercado,72,0,27.16
23,1783223,Menos de 250k,Experto,General,Presencial,10,Por encima del mercado,84,1,66.79
20,1138287,Más de 1M,Intermedio,Específica,Híbrido,10,Por debajo del mercado,89,0,54.49
3,1241602,Menos de 250k,Intermedio,General,Remoto,6,Por encima del mercado,39,0,31.26
5,385484,250k a 1M,Básico,General,Remoto,11,Por debajo del mercado,34,1,10.14
19,515317,250k a 1M,Experto,Sin Experiencia,Híbrido,12,Por debajo del mercado,84,0,34.26
7,1039024,Más de 1M,Intermedio,General,Presencial,3,Por debajo del mercado,80,1,36.7
21,268134,250k a 1M,Básico,General,Remoto,5,Dentro del mercado,35,0,22.29
9,1201550,Más de 1M,Intermedio,Sin Experiencia,Remoto,8,Por debajo del mercado,65,1,40.88
7,1248222,Menos de 250k,Básico,General,Híbrido,1,Dentro del mercado,31,0,24.84
18,1500976,Más de 1M,Intermedio,General,Remoto,12,Dentro del mercado,98,0,53.2
4,1248744,Menos de 250k,Intermedio,General,Presencial,1,Dentro del mercado,28,0,22.24
14,1690592,Más de 1M,Experto,General,Híbrido,7,Por debajo del mercado,40,0,62.57
18,739376,250k a 1M,Intermedio,General,Presencial,14,Dentro del mercado,35,1,26.76
9,1634110,Más de 1M,Intermedio,Sin Experiencia,Híbrido,5,Por debajo del mercado,51,0,47.38
21,488774,250k a 1M,Experto,Sin Experiencia,Híbrido,14,Dentro del mercado,50,0,35.6
2,561937,250k a 1M,Básico,General,Presencial,5,Por debajo del mercado,32,0,10.18
20,461597,250k a 1M,Básico,General,Remoto,1,Por encima del mercado,56,1,34.33
15,964228,250k a 1M,Intermedio,Sin Experiencia,Presencial,9,Dentro del mercado,22,0,27.53
7,1003959,Menos de 250k,Intermedio,Específica,Remoto,1,Dentro del mercado,98,1,26.17
12,142263,Menos de 250k,Intermedio,General,Remoto,5,Dentro del mercado,75,0,12.57
8,971522,Menos de 250k,Experto,General,Remoto,10,Por debajo del mercado,75,0,31.55
15,1634166,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,9,Por debajo del mercado,25,0,37.6
3,903938,Más de 1M,Intermedio,General,Remoto,14,Por encima del mercado,82,0,41.19
14,1664021,Menos de 250k,Intermedio,General,Remoto,4,Por encima del mercado,37,1,47.17
17,1677781,Más de 1M,Experto,General,Híbrido,13,Por debajo del mercado,86,0,64.99
4,1322386,Menos de 250k,Experto,General,Híbrido,8,Dentro del mercado,44,0,33.35
18,1195222,Menos de 250k,Experto,Específica,Presencial,6,Dentro del mercado,50,0,48.61
8,395266,250k a 1M,Básico,General,Híbrido,11,Dentro del mercado,86,0,12.9
4,1909527,250k a 1M,Intermedio,Sin Experiencia,Presencial,3,Por debajo del mercado,40,0,32.17
2,1588601,250k a 1M,Básico,General,Híbrido,4,Por debajo del mercado,94,1,25.61
6,530703,250k a 1M,Básico,General,Presencial,2,Por debajo del mercado,41,0,13.19
22,1024323,250k a 1M,Básico,General,Presencial,1,Por encima del mercado,63,0,44.52
10,393054,Menos de 250k,Intermedio,Sin Experiencia,Remoto,13,Dentro del mercado,81,0,14.6
4,956862,Más de 1M,Intermedio,Sin Experiencia,Remoto,14,Dentro del mercado,68,0,32.85
22,1956332,Más de 1M,Básico,Específica,Presencial,8,Por encima del mercado,50,1,78.52
18,1366128,250k a 1M,Intermedio,General,Presencial,1,Dentro del mercado,75,0,36.18
12,1157955,Menos de 250k,Intermedio,Específica,Remoto,14,Por encima del mercado,63,0,42.83
2,1123629,250k a 1M,Intermedio,General,Híbrido,13,Dentro del mercado,49,0,18.62
10,1501238,Menos de 250k,Básico,General,Presencial,11,Por debajo del mercado,37,0,31.25
4,1754858,Menos de 250k,Intermedio,General,Presencial,1,Por encima del mercado,46,1,39.84
14,148723,Menos de 250k,Intermedio,Específica,Remoto,4,Dentro del mercado,74,0,19.41
16,625644,250k a 1M,Básico,General,Presencial,10,Por debajo del mercado,83,0,23.31
15,1371509,Más de 1M,Básico,General,Híbrido,12,Por debajo del mercado,64,1,48.65
8,1982728,250k a 1M,Intermedio,Sin Experiencia,Híbrido,10,Por debajo del mercado,13,1,36.75
14,903088,250k a 1M,Experto,General,Remoto,6,Dentro del mercado,19,0,35.74
23,1929036,250k a 1M,Intermedio,General,Presencial,9,Por encima del mercado,56,1,58.98
8,1949492,Menos de 250k,Intermedio,Sin Experiencia,Remoto,1,Por encima del mercado,84,0,46.25
21,1130730,Menos de 250k,Intermedio,Sin Experiencia,Remoto,7,Por encima del mercado,23,0,45.25
16,1312518,Más de 1M,Intermedio,General,Híbrido,10,Por debajo del mercado,47,0,48.63
13,314480,Menos de 250k,Básico,Sin Experiencia,Remoto,11,Por debajo del mercado,21,0,16.03
18,1464397,Más de 1M,Intermedio,Sin Experiencia,Remoto,5,Por debajo del mercado,54,0,52.65
15,1952787,250k a 1M,Experto,General,Remoto,12,Por encima del mercado,26,0,62.38
21,331173,250k a 1M,Intermedio,Específica,Remoto,8,Por debajo del mercado,89,0,28.24
13,895633,250k a 1M,Experto,General,Híbrido,14,Dentro del mercado,44,1,34.76
9,1130841,250k a 1M,Intermedio,Sin Experiencia,Remoto,7,Dentro del mercado,75,0,24.82
15,1463636,Más de 1M,Básico,Sin Experiencia,Remoto,4,Dentro del mercado,84,0,50.03
13,1341898,Más de 1M,Experto,General,Presencial,4,Por debajo del mercado,50,1,56.47
1,1084057,250k a 1M,Básico,General,Remoto,6,Por encima del mercado,76,1,27.16
7,1273520,Menos de 250k,Intermedio,Específica,Remoto,6,Por encima del mercado,38,0,40.22
9,1669061,250k a 1M,Básico,General,Presencial,9,Por debajo del mercado,27,1,32.9
1,1546972,Más de 1M,Básico,General,Presencial,12,Dentro del mercado,29,0,39.11
12,1253358,Menos de 250k,Intermedio,Sin Experiencia,Remoto,5,Por encima del mercado,23,0,39.27
8,1783422,250k a 1M,Básico,General,Remoto,8,Por debajo del mercado,43,1,33.75
11,1170483,250k a 1M,Intermedio,Sin Experiencia,Remoto,5,Dentro del mercado,58,0,27.15
19,252967,250k a 1M,Intermedio,Específica,Presencial,2,Por debajo del mercado,63,1,25.32
17,1949443,Menos de 250k,Básico,General,Remoto,6,Dentro del mercado,40,0,44.07
8,1401351,250k a 1M,Básico,General,Presencial,9,Por debajo del mercado,67,0,28.01
3,1489758,Más de 1M,Intermedio,Sin Experiencia,Remoto,13,Dentro del mercado,51,0,39.99
3,1855468,Menos de 250k,Intermedio,Sin Experiencia,Presencial,3,Por debajo del mercado,67,0,30.49
1,1380823,Menos de 250k,Intermedio,General,Presencial,1,Dentro del mercado,91,1,21.62
5,114772,Más de 1M,Intermedio,Sin Experiencia,Presencial,1,Por encima del mercado,39,0,31.07
10,176108,Menos de 250k,Experto,General,Presencial,13,Por encima del mercado,34,1,31.34
7,1112958,Más de 1M,Intermedio,Sin Experiencia,Presencial,3,Por encima del mercado,72,0,47.81
9,1182867,250k a 1M,Intermedio,General,Presencial,10,Dentro del mercado,28,1,25.6
7,413339,Menos de 250k,Intermedio,Específica,Remoto,5,Por debajo del mercado,81,0,17.3
9,1757692,Más de 1M,Básico,General,Remoto,3,Por debajo del mercado,17,0,49.23
8,1381329,250k a 1M,Intermedio,General,Presencial,9,Por encima del mercado,12,0,37.71
12,197550,250k a 1M,Intermedio,Sin Experiencia,Híbrido,8,Por debajo del mercado,76,0,13.4
2,1330626,Menos de 250k,Intermedio,Sin Experiencia,Presencial,3,Por debajo del mercado,95,0,21.73
1,482882,250k a 1M,Intermedio,General,Remoto,9,Dentro del mercado,90,0,8.12
16,387827,Menos de 250k,Experto,General,Presencial,13,Por debajo del mercado,26,1,29.74
23,1097843,Menos de 250k,Experto,General,Presencial,6,Por debajo del mercado,23,0,46.49
23,1590889,Más de 1M,Experto,Sin Experiencia,Remoto,13,Por encima del mercado,18,0,78.9
5,1485434,Menos de 250k,Intermedio,Sin Experiencia,Remoto,7,Por encima del mercado,71,0,36.67
3,1753194,250k a 1M,Intermedio,Sin Experiencia,Híbrido,4,Dentro del mercado,30,1,28.95
12,645603,Menos de 250k,Intermedio,Específica,Remoto,4,Por encima del mercado,85,0,35.13
8,1962842,250k a 1M,Intermedio,Sin Experiencia,Híbrido,12,Dentro del mercado,46,1,36.45
22,438349,Menos de 250k,Intermedio,General,Presencial,13,Dentro del mercado,20,0,25.72
3,1112729,Más de 1M,Intermedio,Sin Experiencia,Presencial,2,Por debajo del mercado,29,0,34.33
1,1076919,250k a 1M,Intermedio,General,Presencial,5,Por debajo del mercado,44,1,17.05
3,1699189,Menos de 250k,Intermedio,General,Presencial,8,Dentro del mercado,62,0,28.14
5,1339349,Menos de 250k,Básico,Específica,Remoto,7,Por encima del mercado,56,0,39.47
15,1153894,Menos de 250k,Intermedio,Específica,Remoto,7,Dentro del mercado,84,0,35.38
14,444030,250k a 1M,Básico,General,Presencial,6,Por debajo del mercado,61,1,18.85
3,1475753,Menos de 250k,Experto,Específica,Híbrido,3,Por debajo del mercado,17,0,39.78
1,126077,Más de 1M,Intermedio,Específica,Híbrido,5,Por encima del mercado,13,0,32.76
5,926906,250k a 1M,Básico,Específica,Presencial,13,Por debajo del mercado,36,0,23.27
23,183515,Menos de 250k,Básico,Específica,Presencial,1,Dentro del mercado,53,0,27.76
14,1043497,250k a 1M,Intermedio,Sin Experiencia,Presencial,7,Por debajo del mercado,49,1,27.85
7,1305564,250k a 1M,Intermedio,General,Presencial,9,Por debajo del mercado,56,1,25.7
9,1958327,Menos de 250k,Intermedio,Sin Experiencia,Presencial,1,Dentro del mercado,53,0,37.25
15,175885,Menos de 250k,Básico,Sin Experiencia,Remoto,13,Dentro del mercado,57,1,15.69
15,946209,Menos de 250k,Intermedio,Específica,Presencial,2,Por debajo del mercado,94,0,32.26
10,591656,250k a 1M,Intermedio,General,Presencial,3,Por debajo del mercado,61,0,17.58
13,720688,250k a 1M,Intermedio,General,Híbrido,3,Por encima del mercado,93,0,32.13
19,238014,250k a 1M,Intermedio,Específica,Remoto,8,Por debajo del mercado,77,0,25.1
7,141751,Más de 1M,Intermedio,Específica,Híbrido,7,Dentro del mercado,20,0,28.22
17,280203,Más de 1M,Básico,Específica,Presencial,6,Por encima del mercado,86,0,48.99
20,863738,250k a 1M,Experto,Sin Experiencia,Presencial,10,Por debajo del mercado,82,1,40.37
4,745275,Más de 1M,Intermedio,Sin Experiencia,Remoto,10,Por encima del mercado,13,0,39.68
5,873651,Menos de 250k,Intermedio,General,Presencial,11,Por debajo del mercado,85,0,17.47
23,1310527,Menos de 250k,Básico,Sin Experiencia,Presencial,4,Dentro del mercado,82,0,39.69
7,1603731,Menos de 250k,Intermedio,Sin Experiencia,Remoto,9,Por debajo del mercado,86,0,30.18
13,245716,Menos de 250k,Básico,General,Remoto,1,Por encima del mercado,57,1,25.0
15,634567,250k a 1M,Intermedio,General,Remoto,11,Por debajo del mercado,35,0,22.58
11,365172,Más de 1M,Experto,General,Remoto,2,Por debajo del mercado,86,0,40.05
4,940695,Menos de 250k,Intermedio,General,Remoto,14,Por encima del mercado,48,0,27.61
13,50126,Menos de 250k,Básico,General,Presencial,4,Dentro del mercado,67,0,12.06
7,888761,250k a 1M,Básico,Sin Experiencia,Presencial,3,Dentro del mercado,28,0,19.44
19,1126208,Más de 1M,Intermedio,Sin Experiencia,Presencial,1,Por debajo del mercado,97,0,48.44
22,550315,Menos de 250k,Básico,General,Presencial,5,Dentro del mercado,92,0,27.4
2,1819246,250k a 1M,Básico,General,Híbrido,7,Por debajo del mercado,86,1,29.07
10,1208521,Menos de 250k,Intermedio,General,Remoto,2,Por debajo del mercado,86,0,26.85
13,367320,Menos de 250k,Intermedio,Sin Experiencia,Remoto,5,Dentro del mercado,67,0,16.82
21,1349445,Más de 1M,Básico,Específica,Presencial,6,Por debajo del mercado,37,1,58.54
6,791426,Más de 1M,Experto,General,Presencial,11,Por encima del mercado,75,0,52.11
12,548716,Menos de 250k,Básico,General,Presencial,7,Por encima del mercado,19,0,28.68
12,1093917,Más de 1M,Experto,General,Presencial,1,Dentro del mercado,95,1,51.87
20,1273975,250k a 1M,Intermedio,Específica,Presencial,7,Por encima del mercado,86,1,51.53
11,512120,Más de 1M,Experto,General,Remoto,4,Dentro del mercado,67,1,42.26
23,1233445,250k a 1M,Intermedio,General,Remoto,8,Por debajo del mercado,82,0,38.53
7,228954,250k a 1M,Experto,Específica,Remoto,13,Dentro del mercado,23,0,24.53
1,719078,250k a 1M,Experto,General,Remoto,4,Por debajo del mercado,93,0,21.67
1,1133136,250k a 1M,Básico,General,Híbrido,6,Por debajo del mercado,24,0,17.89
20,1961597,Menos de 250k,Experto,General,Presencial,9,Por encima del mercado,42,1,66.86
13,334260,Menos de 250k,Intermedio,General,Presencial,5,Dentro del mercado,26,0,16.33
9,182717,Menos de 250k,Intermedio,Sin Experiencia,Presencial,14,Por encima del mercado,33,0,20.57
3,1277171,250k a 1M,Intermedio,General,Remoto,12,Por debajo del mercado,39,1,21.8
7,698373,Menos de 250k,Intermedio,Específica,Híbrido,4,Dentro del mercado,71,0,21.58
6,429862,250k a 1M,Básico,Específica,Presencial,8,Por debajo del mercado,22,0,16.68
8,1904264,Más de 1M,Intermedio,General,Híbrido,13,Dentro del mercado,71,0,50.57
9,544592,Menos de 250k,Intermedio,General,Híbrido,9,Dentro del mercado,56,0,16.01
5,1198734,250k a 1M,Intermedio,Sin Experiencia,Presencial,4,Dentro del mercado,25,0,22.36
1,1807109,250k a 1M,Experto,Específica,Presencial,3,Por debajo del mercado,75,1,43.02
19,1267078,Más de 1M,Intermedio,Específica,Remoto,8,Por debajo del mercado,90,1,55.56
10,1531074,Menos de 250k,Intermedio,General,Híbrido,14,Por debajo del mercado,52,0,31.7
12,380388,250k a 1M,Básico,Específica,Presencial,5,Dentro del mercado,17,0,21.15
15,1765630,Más de 1M,Básico,General,Remoto,2,Por encima del mercado,12,0,64.57
22,368408,Más de 1M,Básico,General,Presencial,10,Por debajo del mercado,21,1,39.67
9,518276,250k a 1M,Intermedio,Sin Experiencia,Remoto,9,Dentro del mercado,93,1,15.61
20,1064920,250k a 1M,Básico,General,Remoto,3,Por encima del mercado,25,0,43.39
17,107545,250k a 1M,Experto,General,Remoto,12,Dentro del mercado,87,1,26.4
17,561411,Más de 1M,Intermedio,General,Híbrido,2,Dentro del mercado,89,1,38.22
20,875656,250k a 1M,Intermedio,General,Híbrido,1,Por encima del mercado,68,1,40.55
12,1070020,Menos de 250k,Intermedio,Específica,Híbrido,14,Por debajo del mercado,58,0,31.51
7,934377,Más de 1M,Básico,Sin Experiencia,Presencial,8,Por debajo del mercado,72,1,35.13
2,63224,250k a 1M,Intermedio,General,Remoto,11,Por debajo del mercado,71,0,2.69
3,90738,250k a 1M,Intermedio,General,Presencial,3,Por encima del mercado,58,1,13.97
17,992654,Menos de 250k,Intermedio,General,Remoto,7,Por encima del mercado,60,1,39.7
5,1948739,250k a 1M,Intermedio,General,Remoto,1,Dentro del mercado,42,0,33.63
17,1279336,Menos de 250k,Experto,Sin Experiencia,Remoto,1,Por debajo del mercado,39,1,44.0
17,1067433,250k a 1M,Experto,Sin Experiencia,Remoto,12,Dentro del mercado,68,0,40.82
17,1862554,Menos de 250k,Intermedio,General,Híbrido,9,Por debajo del mercado,85,1,42.77
2,516725,250k a 1M,Intermedio,General,Presencial,12,Por debajo del mercado,24,0,9.5
2,713937,Más de 1M,Intermedio,Sin Experiencia,Remoto,8,Dentro del mercado,91,1,27.47
22,1630934,Menos de 250k,Básico,General,Presencial,12,Por encima del mercado,32,1,53.63
23,1224737,Más de 1M,Intermedio,General,Presencial,13,Por encima del mercado,87,1,63.4
5,1631530,250k a 1M,Básico,General,Presencial,3,Dentro del mercado,54,0,28.86
1,894193,Más de 1M,Intermedio,Específica,Híbrido,6,Por debajo del mercado,71,1,34.3
1,348512,250k a 1M,Intermedio,Sin Experiencia,Híbrido,11,Por debajo del mercado,88,0,6.11
19,712143,250k a 1M,Básico,Sin Experiencia,Híbrido,3,Por debajo del mercado,80,0,27.22
2,616202,250k a 1M,Experto,General,Híbrido,13,Dentro del mercado,24,0,21.0
21,1300155,Más de 1M,Experto,General,Presencial,12,Por encima del mercado,55,0,72.79
12,702026,250k a 1M,Intermedio,General,Presencial,4,Por debajo del mercado,73,1,20.98
6,1046530,Menos de 250k,Intermedio,Específica,Remoto,1,Dentro del mercado,55,0,25.94
23,821253,250k a 1M,Experto,Específica,Remoto,5,Por debajo del mercado,65,1,47.34
4,554471,Más de 1M,Básico,Específica,Remoto,1,Por debajo del mercado,53,0,31.81
23,1428246,250k a 1M,Intermedio,General,Presencial,13,Dentro del mercado,84,0,41.46
11,856388,250k a 1M,Básico,General,Remoto,1,Por debajo del mercado,38,0,22.43
17,1317543,250k a 1M,Intermedio,General,Remoto,10,Dentro del mercado,71,0,34.58
6,1931248,Más de 1M,Básico,Sin Experiencia,Presencial,11,Por encima del mercado,98,0,59.23
5,433152,Menos de 250k,Experto,General,Remoto,11,Dentro del mercado,61,0,20.86
20,1004652,250k a 1M,Experto,Sin Experiencia,Remoto,14,Por debajo del mercado,63,1,42.49
2,144270,Menos de 250k,Básico,Específica,Remoto,7,Por debajo del mercado,97,0,8.91
6,1095482,Menos de 250k,Intermedio,General,Presencial,12,Dentro del mercado,66,1,21.68
22,1889765,Menos de 250k,Experto,General,Remoto,6,Por debajo del mercado,92,0,57.52
11,1641961,Menos de 250k,Intermedio,General,Presencial,2,Por debajo del mercado,75,0,34.23
16,1764331,250k a 1M,Experto,Sin Experiencia,Presencial,14,Dentro del mercado,31,1,50.42
16,1245889,Menos de 250k,Intermedio,Sin Experiencia,Remoto,11,Dentro del mercado,29,0,32.63
1,1988900,250k a 1M,Intermedio,General,Remoto,12,Dentro del mercado,42,1,30.75
9,208768,Menos de 250k,Básico,Sin Experiencia,Presencial,2,Por debajo del mercado,81,1,10.96
6,1345302,Menos de 250k,Básico,General,Remoto,11,Por encima del mercado,34,0,35.43
16,1955488,Menos de 250k,Intermedio,Específica,Remoto,7,Por debajo del mercado,55,1,48.29
3,620451,Menos de 250k,Intermedio,Específica,Remoto,1,Por debajo del mercado,82,0,16.93
20,69816,250k a 1M,Intermedio,General,Remoto,13,Dentro del mercado,66,0,18.44
4,1017344,250k a 1M,Intermedio,Sin Experiencia,Remoto,2,Dentro del mercado,96,0,18.76
19,807907,250k a 1M,Intermedio,Específica,Remoto,12,Por encima del mercado,14,0,43.66
3,364997,250k a 1M,Experto,Específica,Presencial,8,Dentro del mercado,64,0,23.09
19,1254565,Menos de 250k,Experto,Sin Experiencia,Presencial,6,Por encima del mercado,70,0,55.37
20,1719595,Más de 1M,Intermedio,General,Remoto,14,Por encima del mercado,98,0,68.23
7,1775502,250k a 1M,Experto,Sin Experiencia,Remoto,2,Dentro del mercado,17,0,42.76
20,1305100,250k a 1M,Intermedio,Específica,Remoto,7,Dentro del mercado,25,0,42.0
9,1685687,Menos de 250k,Intermedio,Específica,Presencial,4,Dentro del mercado,57,1,38.15
1,1088896,Menos de 250k,Experto,Sin Experiencia,Presencial,2,Por encima del mercado,70,1,37.23
8,1250454,Menos de 250k,Básico,Específica,Remoto,12,Dentro del mercado,24,0,30.74
7,780880,Menos de 250k,Básico,General,Presencial,6,Por debajo del mercado,74,0,17.82
18,1624623,250k a 1M,Experto,Específica,Remoto,11,Dentro del mercado,31,0,55.06
8,831452,250k a 1M,Intermedio,General,Presencial,9,Por debajo del mercado,12,0,19.45
1,1533741,250k a 1M,Experto,Específica,Remoto,11,Dentro del mercado,63,0,38.91
11,1977382,250k a 1M,Experto,Sin Experiencia,Híbrido,9,Por debajo del mercado,23,0,49.27
18,183554,Más de 1M,Básico,General,Presencial,14,Dentro del mercado,45,0,33.41
23,1909450,250k a 1M,Experto,Sin Experiencia,Remoto,8,Por encima del mercado,91,1,68.69
10,501282,Más de 1M,Intermedio,Específica,Presencial,3,Por debajo del mercado,91,1,36.23
3,1192077,Menos de 250k,Intermedio,Específica,Remoto,3,Por debajo del mercado,76,0,25.52
7,314223,Menos de 250k,Intermedio,Específica,Remoto,2,Por debajo del mercado,19,0,15.81
16,1158252,Menos de 250k,Experto,Específica,Remoto,5,Dentro del mercado,58,1,46.31
16,1840380,250k a 1M,Básico,Sin Experiencia,Remoto,14,Por debajo del mercado,74,0,41.56
20,1272108,Más de 1M,Intermedio,General,Híbrido,12,Por debajo del mercado,66,1,51.5
17,1713261,Menos de 250k,Intermedio,Sin Experiencia,Presencial,14,Por debajo del mercado,36,0,40.52
2,647135,Más de 1M,Intermedio,Sin Experiencia,Presencial,4,Dentro del mercado,84,0,26.46
1,1716471,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,7,Por debajo del mercado,14,0,26.66
16,270178,Más de 1M,Básico,General,Remoto,4,Dentro del mercado,80,0,32.97
12,1248097,Menos de 250k,Básico,Sin Experiencia,Híbrido,9,Por debajo del mercado,92,0,29.19
5,476752,Menos de 250k,Intermedio,Sin Experiencia,Remoto,12,Dentro del mercado,66,0,11.51
5,638365,250k a 1M,Experto,Sin Experiencia,Híbrido,12,Por debajo del mercado,24,0,23.94
23,874690,Menos de 250k,Básico,Sin Experiencia,Remoto,2,Dentro del mercado,85,0,33.14
9,753662,Menos de 250k,Básico,Específica,Remoto,11,Por debajo del mercado,39,0,24.15
9,1355585,Menos de 250k,Experto,General,Híbrido,14,Dentro del mercado,29,1,38.19
3,1236293,Más de 1M,Básico,Específica,Remoto,6,Por encima del mercado,46,1,51.18
19,1480491,250k a 1M,Experto,General,Presencial,7,Por encima del mercado,12,0,58.76
16,612288,Menos de 250k,Intermedio,Sin Experiencia,Presencial,4,Dentro del mercado,82,0,23.11
16,1649601,250k a 1M,Experto,General,Presencial,13,Dentro del mercado,50,0,48.7
3,1896493,250k a 1M,Básico,General,Presencial,6,Por encima del mercado,48,1,41.1
20,350709,Menos de 250k,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,35,0,22.66
22,993026,250k a 1M,Intermedio,Sin Experiencia,Remoto,4,Por debajo del mercado,11,0,34.05
1,1950163,Menos de 250k,Experto,Sin Experiencia,Remoto,8,Por encima del mercado,32,0,50.17
20,1284816,Menos de 250k,Intermedio,Sin Experiencia,Remoto,9,Dentro del mercado,32,0,36.69
11,1675351,250k a 1M,Básico,General,Remoto,1,Por debajo del mercado,94,1,34.74
17,1373062,Menos de 250k,Intermedio,General,Presencial,7,Por debajo del mercado,25,1,35.41
8,1401526,250k a 1M,Intermedio,Sin Experiencia,Presencial,9,Por debajo del mercado,18,0,28.01
4,1409490,250k a 1M,Intermedio,Sin Experiencia,Presencial,12,Dentro del mercado,22,0,24.65
6,1177199,Menos de 250k,Intermedio,Específica,Remoto,10,Por debajo del mercado,37,1,27.9
8,1463897,250k a 1M,Experto,Sin Experiencia,Presencial,5,Por debajo del mercado,36,1,38.95
20,1067289,Menos de 250k,Intermedio,General,Presencial,12,Por debajo del mercado,60,0,33.43
3,1960637,Más de 1M,Básico,Específica,Remoto,2,Dentro del mercado,73,1,52.07
16,957425,250k a 1M,Intermedio,Sin Experiencia,Híbrido,10,Dentro del mercado,61,0,28.3
3,233675,Más de 1M,Básico,Sin Experiencia,Presencial,6,Por debajo del mercado,90,0,21.12
18,1835910,250k a 1M,Intermedio,General,Remoto,12,Por debajo del mercado,47,1,43.24
14,1728811,Menos de 250k,Intermedio,General,Remoto,12,Por debajo del mercado,74,0,38.15
18,1911407,250k a 1M,Básico,General,Remoto,7,Por encima del mercado,27,1,54.37
2,702465,Más de 1M,Intermedio,Específica,Híbrido,2,Dentro del mercado,72,0,32.29
22,1315030,250k a 1M,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,60,0,38.89
3,1048748,Más de 1M,Experto,General,Presencial,10,Por debajo del mercado,18,1,43.37
16,1208151,Más de 1M,Experto,General,Híbrido,14,Dentro del mercado,22,1,57.06
9,1083024,Menos de 250k,Básico,Sin Experiencia,Remoto,12,Dentro del mercado,49,0,24.1
4,1995912,Menos de 250k,Experto,General,Remoto,10,Por debajo del mercado,64,0,43.47
1,1306182,250k a 1M,Intermedio,Sin Experiencia,Remoto,1,Por debajo del mercado,88,0,20.49
4,555815,250k a 1M,Básico,General,Remoto,4,Por debajo del mercado,52,0,11.83
1,1391398,Más de 1M,Básico,Sin Experiencia,Híbrido,7,Por encima del mercado,53,0,46.77
14,126218,Más de 1M,Intermedio,General,Híbrido,14,Por encima del mercado,77,0,39.07
