duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,exito,prob_exito
19,1525258,Más de 1M,Intermedio,General,Híbrido,17,Por debajo del mercado,18,0,48.54
12,580626,Más de 1M,Intermedio,General,Remoto,4,Por debajo del mercado,440,0,42.01
13,1638828,250k a 1M,Básico,Sin Experiencia,Presencial,17,Por encima del mercado,378,0,40.48
26,2218370,Menos de 250k,Experto,General,Presencial,11,Dentro del mercado,313,1,69.82
22,1484144,250k a 1M,Experto,General,Presencial,5,Por debajo del mercado,123,0,52.28
5,1233315,250k a 1M,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,421,1,30.21
10,1103663,Menos de 250k,Experto,Específica,Remoto,3,Por encima del mercado,499,0,68.26
12,2257801,250k a 1M,Experto,Específica,Remoto,4,Por debajo del mercado,346,0,75.96
8,715390,250k a 1M,Experto,Sin Experiencia,Híbrido,5,Dentro del mercado,62,1,32.76
3,226432,Menos de 250k,Intermedio,General,Remoto,20,Por encima del mercado,471,0,51.39
5,1215424,250k a 1M,Intermedio,General,Híbrido,7,Dentro del mercado,232,1,44.36
28,2887858,250k a 1M,Experto,Específica,Híbrido,6,Por encima del mercado,28,1,74.22
16,2341963,Más de 1M,Intermedio,Específica,Remoto,16,Dentro del mercado,444,1,78.74
10,36943,250k a 1M,Experto,Sin Experiencia,Presencial,2,Dentro del mercado,16,1,22.35
11,2207961,250k a 1M,Experto,Sin Experiencia,Remoto,1,Por debajo del mercado,305,1,51.98
29,2101974,250k a 1M,Experto,Sin Experiencia,Presencial,20,Por encima del mercado,21,1,56.65
23,1115676,250k a 1M,Experto,General,Remoto,19,Por encima del mercado,185,1,60.96
27,1917519,Menos de 250k,Experto,General,Presencial,12,Por debajo del mercado,298,1,67.12
16,1119534,Más de 1M,Básico,Sin Experiencia,Presencial,5,Por debajo del mercado,244,1,22.27
22,2425268,Más de 1M,Intermedio,General,Híbrido,20,Por encima del mercado,139,1,63.42
7,2480110,Más de 1M,Básico,General,Remoto,16,Por encima del mercado,296,1,55.68
33,714356,Más de 1M,Básico,General,Presencial,12,Dentro del mercado,448,1,39.58
26,1337842,Más de 1M,Intermedio,Específica,Híbrido,18,Por encima del mercado,57,0,58.59
26,1944263,Más de 1M,Básico,General,Presencial,4,Por debajo del mercado,9,0,32.71
13,2733532,Más de 1M,Intermedio,Específica,Híbrido,4,Dentro del mercado,237,0,67.45
25,2855901,Más de 1M,Básico,Sin Experiencia,Híbrido,13,Por debajo del mercado,262,0,46.17
4,2689438,Más de 1M,Intermedio,Sin Experiencia,Híbrido,12,Dentro del mercado,356,1,56.57
26,1834683,Más de 1M,Experto,Específica,Híbrido,19,Dentro del mercado,275,1,80.85
15,1840548,Más de 1M,Intermedio,Específica,Remoto,16,Dentro del mercado,298,1,69.35
4,1904968,Menos de 250k,Intermedio,Específica,Remoto,11,Por debajo del mercado,347,1,67.71
23,272915,Más de 1M,Intermedio,Sin Experiencia,Remoto,7,Por debajo del mercado,124,1,21.7
5,895220,Menos de 250k,Experto,General,Híbrido,2,Por encima del mercado,444,1,53.77
7,2775776,Más de 1M,Básico,General,Remoto,12,Por debajo del mercado,203,1,52.85
8,1479551,250k a 1M,Intermedio,Sin Experiencia,Híbrido,7,Por debajo del mercado,489,1,44.72
31,2327811,250k a 1M,Intermedio,General,Remoto,4,Por encima del mercado,286,1,54.86
6,876801,Menos de 250k,Básico,Sin Experiencia,Remoto,3,Por encima del mercado,76,0,13.3
28,1857663,250k a 1M,Intermedio,Específica,Presencial,18,Por debajo del mercado,444,1,75.4
13,2619965,250k a 1M,Básico,Sin Experiencia,Híbrido,4,Dentro del mercado,203,1,35.29
9,1168600,Más de 1M,Intermedio,Sin Experiencia,Remoto,20,Por encima del mercado,370,0,47.79
34,2831253,250k a 1M,Intermedio,Sin Experiencia,Híbrido,17,Por debajo del mercado,229,1,57.93
3,2981107,250k a 1M,Intermedio,Específica,Presencial,1,Dentro del mercado,310,1,69.86
18,1892007,Más de 1M,Experto,Sin Experiencia,Remoto,2,Por encima del mercado,9,0,40.69
28,2272828,250k a 1M,Básico,Específica,Remoto,14,Dentro del mercado,287,1,61.84
30,1777117,Menos de 250k,Experto,General,Presencial,12,Dentro del mercado,293,1,65.56
19,521031,250k a 1M,Intermedio,Específica,Híbrido,9,Por encima del mercado,411,1,54.29
29,2802887,Menos de 250k,Intermedio,Sin Experiencia,Presencial,18,Dentro del mercado,250,1,59.03
24,2094048,Más de 1M,Básico,Sin Experiencia,Remoto,19,Por encima del mercado,402,0,47.25
3,1639685,Menos de 250k,Intermedio,General,Híbrido,12,Por encima del mercado,208,0,51.64
19,251472,250k a 1M,Experto,Específica,Híbrido,18,Dentro del mercado,110,1,59.31
19,2968761,Menos de 250k,Básico,Sin Experiencia,Remoto,2,Por encima del mercado,45,1,32.54
11,1254257,250k a 1M,Experto,General,Híbrido,12,Por encima del mercado,122,1,55.2
21,2630346,250k a 1M,Intermedio,Específica,Remoto,19,Dentro del mercado,426,0,83.33
1,1684756,Más de 1M,Experto,General,Remoto,12,Por debajo del mercado,475,1,70.1
34,2892357,250k a 1M,Experto,Específica,Híbrido,7,Por debajo del mercado,393,1,85.96
12,21840,Menos de 250k,Experto,Sin Experiencia,Remoto,1,Dentro del mercado,499,1,35.94
5,128662,Menos de 250k,Experto,Específica,Remoto,18,Por debajo del mercado,494,1,69.61
33,1847433,Más de 1M,Básico,General,Remoto,13,Por encima del mercado,35,0,39.27
25,1608508,Más de 1M,Experto,Sin Experiencia,Presencial,16,Por encima del mercado,65,1,50.04
31,2157301,Más de 1M,Intermedio,General,Presencial,17,Por debajo del mercado,366,1,65.3
3,1722275,Menos de 250k,Experto,Específica,Remoto,4,Dentro del mercado,60,0,62.02
2,112921,Más de 1M,Básico,Específica,Híbrido,13,Por encima del mercado,83,1,33.37
6,2370120,Más de 1M,Experto,General,Remoto,12,Dentro del mercado,470,1,76.8
31,1953303,250k a 1M,Básico,Específica,Remoto,8,Por debajo del mercado,426,0,58.31
22,2629170,Más de 1M,Intermedio,General,Presencial,3,Por encima del mercado,377,0,59.85
1,560483,Menos de 250k,Intermedio,Sin Experiencia,Remoto,5,Por encima del mercado,255,1,27.0
34,2273411,250k a 1M,Intermedio,Específica,Remoto,11,Dentro del mercado,42,0,62.24
11,704910,Menos de 250k,Experto,General,Remoto,3,Por debajo del mercado,491,0,54.03
28,1209056,250k a 1M,Intermedio,General,Presencial,16,Por debajo del mercado,453,1,57.68
31,465932,Menos de 250k,Intermedio,Sin Experiencia,Presencial,6,Por debajo del mercado,205,0,25.31
20,647619,250k a 1M,Experto,Sin Experiencia,Híbrido,20,Dentro del mercado,460,1,55.28
19,434864,Más de 1M,Básico,General,Remoto,15,Por debajo del mercado,3,1,25.69
2,663274,250k a 1M,Intermedio,General,Híbrido,3,Por debajo del mercado,453,0,42.47
36,2010322,Menos de 250k,Básico,General,Híbrido,11,Dentro del mercado,212,0,44.71
9,2775005,Menos de 250k,Básico,Específica,Presencial,18,Por debajo del mercado,316,1,70.73
6,2425309,250k a 1M,Experto,Sin Experiencia,Híbrido,4,Por debajo del mercado,133,0,51.24
18,246724,250k a 1M,Experto,General,Presencial,7,Por debajo del mercado,403,0,49.81
8,2285176,Más de 1M,Experto,Específica,Presencial,14,Dentro del mercado,375,1,84.6
4,534615,250k a 1M,Básico,Sin Experiencia,Presencial,4,Por encima del mercado,76,0,10.63
3,2748936,Más de 1M,Básico,General,Remoto,2,Dentro del mercado,245,1,46.34
25,1163613,Menos de 250k,Básico,Específica,Híbrido,7,Por encima del mercado,390,0,48.59
17,550782,Menos de 250k,Intermedio,Sin Experiencia,Remoto,10,Por debajo del mercado,89,1,25.68
33,1784010,Menos de 250k,Experto,Sin Experiencia,Híbrido,9,Por encima del mercado,472,0,58.75
18,327436,Menos de 250k,Básico,Sin Experiencia,Híbrido,17,Dentro del mercado,71,0,18.15
13,1319666,250k a 1M,Intermedio,Sin Experiencia,Híbrido,1,Por debajo del mercado,245,1,31.3
11,2875375,Más de 1M,Intermedio,Específica,Remoto,3,Por debajo del mercado,368,0,72.04
32,2965312,250k a 1M,Experto,Específica,Presencial,14,Dentro del mercado,76,0,82.43
30,1695115,250k a 1M,Intermedio,General,Híbrido,4,Dentro del mercado,434,0,52.97
24,2589607,Menos de 250k,Experto,General,Remoto,17,Por debajo del mercado,160,0,73.45
7,2946567,Menos de 250k,Básico,Específica,Remoto,9,Dentro del mercado,158,1,60.96
8,304772,250k a 1M,Experto,Sin Experiencia,Presencial,5,Por encima del mercado,415,1,39.25
23,1320824,250k a 1M,Básico,Específica,Remoto,17,Por debajo del mercado,5,0,46.11
21,996479,Más de 1M,Básico,Sin Experiencia,Presencial,5,Por debajo del mercado,214,0,20.13
35,2539034,250k a 1M,Básico,General,Presencial,20,Por encima del mercado,471,1,64.52
25,1190029,250k a 1M,Intermedio,Específica,Remoto,2,Por debajo del mercado,465,1,57.35
20,2660434,250k a 1M,Experto,Sin Experiencia,Híbrido,8,Dentro del mercado,172,0,57.76
32,1821925,Menos de 250k,Intermedio,Específica,Híbrido,8,Por debajo del mercado,5,0,54.37
31,301399,250k a 1M,Básico,Sin Experiencia,Híbrido,6,Por debajo del mercado,304,0,16.63
35,148576,250k a 1M,Intermedio,General,Remoto,13,Dentro del mercado,258,0,38.98
1,222075,Más de 1M,Experto,Específica,Híbrido,17,Por encima del mercado,459,1,68.74
30,1945498,Más de 1M,Básico,Sin Experiencia,Remoto,18,Por debajo del mercado,330,0,42.85
7,271887,250k a 1M,Intermedio,Sin Experiencia,Híbrido,1,Por debajo del mercado,132,0,17.43
7,2670866,Más de 1M,Básico,Específica,Remoto,16,Por debajo del mercado,10,1,59.01
1,1365175,250k a 1M,Intermedio,General,Presencial,18,Por debajo del mercado,399,0,59.12
33,1250909,Menos de 250k,Intermedio,Específica,Remoto,8,Por debajo del mercado,78,1,50.85
6,1277741,Más de 1M,Intermedio,Sin Experiencia,Híbrido,15,Por encima del mercado,78,1,36.37
26,1830026,Menos de 250k,Intermedio,Sin Experiencia,Presencial,18,Por debajo del mercado,30,1,42.7
36,171981,Más de 1M,Intermedio,Sin Experiencia,Presencial,8,Por debajo del mercado,41,1,18.95
23,1685684,250k a 1M,Intermedio,Específica,Híbrido,11,Por encima del mercado,222,0,61.77
36,436321,250k a 1M,Intermedio,General,Remoto,3,Por encima del mercado,67,0,28.62
13,2516464,Menos de 250k,Intermedio,General,Híbrido,1,Dentro del mercado,167,1,50.92
12,1780545,250k a 1M,Básico,General,Presencial,14,Dentro del mercado,410,1,50.61
11,2928892,250k a 1M,Intermedio,Sin Experiencia,Presencial,5,Dentro del mercado,129,1,46.91
31,1719062,250k a 1M,Intermedio,General,Remoto,15,Por encima del mercado,253,1,56.03
17,1586609,Menos de 250k,Experto,General,Presencial,11,Dentro del mercado,409,0,66.39
6,1548539,250k a 1M,Intermedio,Sin Experiencia,Híbrido,8,Por debajo del mercado,149,1,35.96
16,813423,250k a 1M,Experto,General,Presencial,18,Por debajo del mercado,466,1,65.61
33,1899131,Menos de 250k,Experto,General,Remoto,1,Por debajo del mercado,309,1,59.01
29,2651641,Menos de 250k,Intermedio,Específica,Híbrido,7,Por encima del mercado,112,0,65.13
35,2365093,Menos de 250k,Básico,General,Presencial,20,Dentro del mercado,101,0,51.68
30,1322693,Menos de 250k,Básico,Sin Experiencia,Presencial,13,Por encima del mercado,407,0,35.19
32,2088496,250k a 1M,Experto,Específica,Remoto,10,Dentro del mercado,390,0,80.08
8,2780826,Más de 1M,Experto,Específica,Híbrido,9,Por encima del mercado,126,1,78.34
34,2042673,Más de 1M,Experto,Específica,Remoto,12,Por debajo del mercado,291,0,78.16
14,993871,250k a 1M,Básico,Sin Experiencia,Presencial,1,Dentro del mercado,63,0,12.58
17,2847349,Menos de 250k,Básico,Sin Experiencia,Remoto,3,Dentro del mercado,151,0,35.25
11,790768,Menos de 250k,Experto,Sin Experiencia,Presencial,18,Dentro del mercado,260,0,49.21
21,1824679,250k a 1M,Intermedio,Específica,Presencial,6,Por debajo del mercado,338,1,62.89
35,2045465,Más de 1M,Experto,Específica,Remoto,3,Dentro del mercado,115,1,66.15
27,1324973,Menos de 250k,Experto,General,Presencial,18,Por debajo del mercado,43,1,58.04
13,147884,Más de 1M,Intermedio,Específica,Híbrido,1,Por debajo del mercado,120,0,35.83
3,1069288,Menos de 250k,Experto,Específica,Remoto,14,Dentro del mercado,32,1,62.15
7,126115,Menos de 250k,Básico,Específica,Híbrido,15,Por encima del mercado,338,1,42.65
15,1556197,Más de 1M,Intermedio,Específica,Presencial,11,Dentro del mercado,184,0,59.33
16,877489,Más de 1M,Experto,Sin Experiencia,Híbrido,11,Por debajo del mercado,48,1,38.46
2,1917417,250k a 1M,Experto,General,Remoto,17,Por debajo del mercado,294,1,70.74
9,1091543,Menos de 250k,Básico,General,Remoto,20,Por debajo del mercado,416,1,48.4
32,2761691,250k a 1M,Intermedio,Específica,Híbrido,20,Por encima del mercado,211,1,78.95
23,1593548,Menos de 250k,Experto,General,Presencial,8,Por debajo del mercado,494,0,66.76
7,1334008,Más de 1M,Básico,Sin Experiencia,Híbrido,2,Dentro del mercado,484,1,29.36
19,39368,250k a 1M,Experto,General,Híbrido,19,Por debajo del mercado,427,1,57.45
25,1358348,250k a 1M,Básico,Sin Experiencia,Remoto,18,Dentro del mercado,20,0,27.68
8,2161616,Menos de 250k,Experto,Sin Experiencia,Remoto,17,Dentro del mercado,430,0,67.27
11,2266891,250k a 1M,Básico,General,Remoto,2,Dentro del mercado,480,0,48.57
4,1113161,Menos de 250k,Experto,Específica,Híbrido,9,Por debajo del mercado,20,1,58.48
5,1448758,Menos de 250k,Intermedio,General,Híbrido,19,Por debajo del mercado,385,1,60.29
28,2243670,250k a 1M,Intermedio,Específica,Presencial,7,Por encima del mercado,437,1,70.8
19,2763129,Menos de 250k,Experto,Sin Experiencia,Híbrido,12,Dentro del mercado,326,1,66.41
9,1680244,250k a 1M,Experto,Sin Experiencia,Presencial,10,Por encima del mercado,338,0,54.44
8,121196,Menos de 250k,Básico,General,Híbrido,1,Por encima del mercado,62,0,13.82
2,2177632,250k a 1M,Experto,General,Híbrido,2,Por encima del mercado,440,1,66.48
8,521037,Más de 1M,Intermedio,Sin Experiencia,Híbrido,8,Por encima del mercado,152,0,25.77
20,2896784,250k a 1M,Experto,Específica,Presencial,20,Por debajo del mercado,21,1,84.6
35,73660,Menos de 250k,Experto,Específica,Remoto,9,Por encima del mercado,405,1,59.64
17,1799966,Menos de 250k,Experto,Específica,Presencial,5,Dentro del mercado,244,1,69.07
7,135856,250k a 1M,Básico,Específica,Presencial,1,Por encima del mercado,195,1,27.96
10,2158798,Más de 1M,Intermedio,Sin Experiencia,Remoto,18,Por debajo del mercado,206,1,51.27
23,2472483,Menos de 250k,Intermedio,General,Presencial,7,Por encima del mercado,476,1,64.25
30,2044484,250k a 1M,Intermedio,General,Presencial,11,Dentro del mercado,1,0,48.72
26,342857,Más de 1M,Intermedio,Sin Experiencia,Remoto,15,Por encima del mercado,9,0,24.95
8,1624720,Menos de 250k,Básico,Específica,Remoto,12,Por encima del mercado,436,1,58.33
28,2630994,Menos de 250k,Básico,General,Presencial,3,Por encima del mercado,92,0,41.32
4,1278291,Menos de 250k,Intermedio,Específica,Presencial,1,Dentro del mercado,269,1,51.6
2,1382201,Más de 1M,Experto,Sin Experiencia,Híbrido,18,Por encima del mercado,89,0,49.99
11,244481,250k a 1M,Básico,Específica,Híbrido,20,Por debajo del mercado,272,1,45.6
7,37793,Menos de 250k,Experto,General,Remoto,14,Por encima del mercado,95,0,43.73
20,2066787,250k a 1M,Básico,Específica,Presencial,2,Por encima del mercado,250,0,49.67
13,2746859,Menos de 250k,Básico,Específica,Híbrido,17,Dentro del mercado,98,1,63.16
36,1957532,Menos de 250k,Experto,Específica,Presencial,12,Por encima del mercado,195,1,74.43
33,499919,250k a 1M,Intermedio,Específica,Híbrido,5,Por encima del mercado,289,1,47.42
20,698482,250k a 1M,Intermedio,General,Remoto,13,Por debajo del mercado,252,0,44.29
21,430597,Más de 1M,Intermedio,Específica,Híbrido,9,Por encima del mercado,198,0,47.0
5,1761937,Menos de 250k,Básico,Específica,Remoto,11,Dentro del mercado,438,1,59.01
18,1979548,Más de 1M,Básico,Sin Experiencia,Híbrido,17,Por encima del mercado,140,0,36.75
33,879576,Más de 1M,Básico,Sin Experiencia,Remoto,16,Por debajo del mercado,25,0,21.55
13,800594,Más de 1M,Básico,General,Híbrido,6,Por encima del mercado,135,0,26.56
12,498024,250k a 1M,Intermedio,Específica,Remoto,1,Dentro del mercado,259,0,43.5
32,2032476,250k a 1M,Intermedio,Específica,Híbrido,13,Dentro del mercado,228,1,66.91
21,1910414,Más de 1M,Intermedio,General,Híbrido,19,Por debajo del mercado,230,1,60.25
5,599721,250k a 1M,Básico,General,Híbrido,15,Por encima del mercado,19,1,27.82
33,772116,250k a 1M,Básico,Específica,Híbrido,2,Dentro del mercado,345,0,39.57
28,1704253,Menos de 250k,Experto,Sin Experiencia,Presencial,19,Por debajo del mercado,84,0,53.81
32,48115,Más de 1M,Experto,General,Remoto,14,Dentro del mercado,282,0,49.44
15,1785520,Menos de 250k,Básico,General,Híbrido,4,Dentro del mercado,127,0,34.67
23,223550,Menos de 250k,Experto,General,Híbrido,19,Por encima del mercado,107,0,49.7
23,443445,Menos de 250k,Experto,Específica,Presencial,18,Por debajo del mercado,312,1,67.29
31,2240985,Más de 1M,Intermedio,General,Híbrido,2,Dentro del mercado,399,0,55.88
1,1159799,Menos de 250k,Experto,General,Híbrido,20,Por debajo del mercado,278,0,64.94
10,2714461,Menos de 250k,Intermedio,General,Remoto,4,Por encima del mercado,130,0,54.04
17,465863,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,13,Por debajo del mercado,107,0,27.62
3,604947,Menos de 250k,Básico,Sin Experiencia,Remoto,4,Por encima del mercado,437,0,22.16
1,1589453,250k a 1M,Intermedio,General,Remoto,9,Por encima del mercado,434,1,55.66
32,2028531,Más de 1M,Experto,General,Híbrido,18,Por debajo del mercado,67,1,65.8
29,1296580,Menos de 250k,Básico,Sin Experiencia,Híbrido,20,Dentro del mercado,93,1,30.76
25,236535,250k a 1M,Básico,General,Presencial,3,Por encima del mercado,326,0,24.4
29,2091210,Más de 1M,Experto,Específica,Remoto,15,Por encima del mercado,87,1,74.77
36,98630,Menos de 250k,Básico,Sin Experiencia,Presencial,15,Dentro del mercado,63,0,14.13
9,1466864,Más de 1M,Intermedio,Específica,Remoto,14,Dentro del mercado,237,1,62.28
17,1300641,250k a 1M,Básico,General,Remoto,18,Por encima del mercado,139,1,40.68
25,2425526,Menos de 250k,Básico,Específica,Remoto,4,Dentro del mercado,87,1,49.87
31,1097519,250k a 1M,Intermedio,Específica,Presencial,18,Por debajo del mercado,253,0,62.07
8,2235523,Más de 1M,Básico,General,Presencial,14,Dentro del mercado,123,0,46.55
31,2996608,Más de 1M,Intermedio,Sin Experiencia,Remoto,11,Por debajo del mercado,76,1,50.5
32,2086033,250k a 1M,Experto,Específica,Remoto,11,Por debajo del mercado,46,1,70.49
9,2792910,250k a 1M,Intermedio,Específica,Híbrido,1,Por debajo del mercado,361,1,69.51
11,101882,Más de 1M,Básico,Específica,Híbrido,9,Por debajo del mercado,285,1,36.32
22,2239505,250k a 1M,Experto,General,Presencial,13,Por debajo del mercado,214,0,68.57
20,31935,Menos de 250k,Experto,Sin Experiencia,Remoto,10,Por encima del mercado,85,1,30.37
34,1361207,Más de 1M,Intermedio,General,Presencial,19,Por debajo del mercado,323,0,57.55
27,809247,Más de 1M,Básico,Sin Experiencia,Híbrido,2,Por encima del mercado,338,0,19.73
34,1067968,250k a 1M,Básico,General,Híbrido,4,Por encima del mercado,296,0,32.56
15,315494,250k a 1M,Básico,Específica,Presencial,7,Por encima del mercado,407,1,40.61
2,633076,250k a 1M,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,125,0,14.58
16,2378160,Menos de 250k,Básico,Específica,Remoto,3,Por encima del mercado,220,1,52.63
32,2743098,Más de 1M,Intermedio,Específica,Remoto,15,Dentro del mercado,310,1,77.98
18,773075,Más de 1M,Experto,Sin Experiencia,Híbrido,9,Por encima del mercado,373,1,45.67
