duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito
14,581973,Menos de 250k,Alto,Específica,Híbrido,12,Alto,0,50.0
29,780019,Menos de 250k,Experto,Generalista,Presencial,9,Alto,0,80.0
21,771094,Más de 1M,Experto,Específica,Remoto,15,Bajo,0,95.0
8,249647,Menos de 250k,Experto,Específica,Presencial,19,Bajo,1,70.0
31,882920,Menos de 250k,Alto,Generalista,Híbrido,20,Bajo,0,50.0
16,799751,Más de 1M,Básico,Específica,Remoto,2,Bajo,0,75.0
6,83981,Entre 250k y 1M,Básico,Generalista,Híbrido,8,Dentro del mercado,1,50.0
6,720094,Entre 250k y 1M,Básico,Generalista,Remoto,8,Dentro del mercado,1,70.0
4,268459,Menos de 250k,Experto,Generalista,Remoto,9,Dentro del mercado,1,80.0
16,827255,Entre 250k y 1M,Experto,Específica,Remoto,1,Dentro del mercado,1,90.0
8,692802,Menos de 250k,Básico,Generalista,Presencial,2,Bajo,1,60.0
13,719468,Entre 250k y 1M,Experto,Generalista,Híbrido,19,Alto,0,70.0
36,782991,Menos de 250k,Alto,Generalista,Presencial,6,Bajo,1,60.0
21,74069,Menos de 250k,Experto,Específica,Remoto,7,Bajo,1,70.0
35,539506,Más de 1M,Experto,Específica,Híbrido,15,Bajo,1,85.0
9,229456,Entre 250k y 1M,Experto,Específica,Presencial,11,Bajo,0,70.0
1,624069,Menos de 250k,Básico,Específica,Remoto,10,Bajo,0,60.0
19,800158,Menos de 250k,Básico,Generalista,Remoto,17,Bajo,1,60.0
11,861548,Entre 250k y 1M,Básico,Específica,Híbrido,19,Bajo,1,50.0
9,599556,Menos de 250k,Experto,Específica,Remoto,16,Dentro del mercado,0,90.0
13,799887,Entre 250k y 1M,Experto,Específica,Presencial,2,Dentro del mercado,0,90.0
28,507648,Menos de 250k,Básico,Generalista,Remoto,4,Bajo,1,60.0
33,973775,Entre 250k y 1M,Alto,Específica,Presencial,11,Alto,0,60.0
6,835778,Entre 250k y 1M,Experto,Generalista,Presencial,15,Bajo,1,80.0
29,695564,Más de 1M,Alto,Generalista,Híbrido,20,Dentro del mercado,1,75.0
27,56443,Entre 250k y 1M,Experto,Específica,Presencial,6,Alto,0,70.0
7,774700,Entre 250k y 1M,Experto,Generalista,Presencial,1,Dentro del mercado,1,90.0
22,677717,Entre 250k y 1M,Alto,Generalista,Remoto,7,Bajo,0,60.0
7,72313,Menos de 250k,Experto,Específica,Presencial,13,Dentro del mercado,1,80.0
30,728465,Menos de 250k,Experto,Generalista,Híbrido,4,Dentro del mercado,1,80.0
6,649646,Más de 1M,Alto,Específica,Remoto,9,Dentro del mercado,0,85.0
34,646146,Más de 1M,Experto,Generalista,Presencial,2,Bajo,1,95.0
6,79029,Entre 250k y 1M,Básico,Generalista,Remoto,18,Bajo,0,50.0
4,719487,Entre 250k y 1M,Básico,Generalista,Híbrido,7,Alto,1,50.0
17,459524,Entre 250k y 1M,Básico,Generalista,Presencial,3,Alto,1,50.0
30,684198,Menos de 250k,Alto,Específica,Remoto,16,Dentro del mercado,0,70.0
32,242913,Menos de 250k,Básico,Específica,Remoto,12,Bajo,0,50.0
19,612646,Más de 1M,Alto,Generalista,Remoto,15,Bajo,1,75.0
7,456921,Más de 1M,Alto,Específica,Remoto,3,Dentro del mercado,1,75.0
19,645716,Menos de 250k,Alto,Específica,Presencial,11,Bajo,1,60.0
9,772407,Entre 250k y 1M,Experto,Específica,Remoto,14,Dentro del mercado,0,90.0
7,534447,Más de 1M,Experto,Específica,Presencial,19,Dentro del mercado,1,100.0
9,536523,Más de 1M,Básico,Específica,Híbrido,5,Dentro del mercado,1,75.0
30,227916,Más de 1M,Experto,Generalista,Híbrido,6,Alto,1,75.0
29,931632,Más de 1M,Experto,Específica,Híbrido,20,Alto,0,85.0
19,66388,Entre 250k y 1M,Experto,Específica,Remoto,15,Dentro del mercado,0,80.0
29,961820,Menos de 250k,Básico,Específica,Presencial,6,Dentro del mercado,1,70.0
12,467140,Menos de 250k,Alto,Específica,Híbrido,6,Dentro del mercado,0,50.0
35,392729,Más de 1M,Alto,Específica,Remoto,15,Bajo,0,65.0
4,379663,Entre 250k y 1M,Básico,Específica,Remoto,3,Bajo,1,50.0
25,550227,Menos de 250k,Alto,Generalista,Híbrido,20,Bajo,0,50.0
10,473622,Menos de 250k,Básico,Generalista,Remoto,8,Bajo,0,50.0
35,223258,Menos de 250k,Experto,Específica,Híbrido,7,Bajo,1,60.0
21,544828,Más de 1M,Experto,Específica,Remoto,11,Dentro del mercado,1,100.0
18,203649,Más de 1M,Alto,Generalista,Remoto,5,Dentro del mercado,1,75.0
33,333461,Más de 1M,Alto,Específica,Remoto,14,Dentro del mercado,0,75.0
20,235181,Menos de 250k,Experto,Específica,Remoto,14,Alto,0,70.0
22,552852,Menos de 250k,Básico,Generalista,Híbrido,10,Bajo,0,50.0
36,648330,Menos de 250k,Experto,Generalista,Remoto,16,Alto,1,80.0
10,663271,Entre 250k y 1M,Experto,Generalista,Híbrido,14,Bajo,1,70.0
26,135193,Más de 1M,Alto,Específica,Híbrido,8,Bajo,1,55.0
20,109121,Entre 250k y 1M,Básico,Específica,Híbrido,13,Dentro del mercado,1,50.0
14,820086,Más de 1M,Alto,Específica,Presencial,3,Alto,1,75.0
8,143797,Entre 250k y 1M,Básico,Específica,Híbrido,4,Bajo,1,40.0
26,106295,Más de 1M,Básico,Generalista,Remoto,16,Bajo,0,65.0
2,670357,Menos de 250k,Experto,Generalista,Presencial,8,Bajo,1,80.0
15,267242,Entre 250k y 1M,Básico,Específica,Remoto,19,Alto,1,50.0
19,191610,Más de 1M,Experto,Generalista,Remoto,20,Bajo,0,85.0
33,830969,Más de 1M,Experto,Generalista,Presencial,16,Alto,0,95.0
24,64894,Más de 1M,Alto,Específica,Presencial,12,Bajo,1,65.0
13,941616,Menos de 250k,Básico,Generalista,Híbrido,9,Dentro del mercado,0,60.0
24,107734,Menos de 250k,Básico,Específica,Presencial,7,Alto,1,50.0
18,398635,Más de 1M,Básico,Específica,Presencial,2,Dentro del mercado,1,75.0
25,529354,Más de 1M,Alto,Generalista,Presencial,3,Dentro del mercado,1,85.0
11,329280,Entre 250k y 1M,Alto,Específica,Remoto,20,Alto,1,50.0
34,443439,Entre 250k y 1M,Experto,Específica,Presencial,10,Bajo,0,70.0
4,662668,Menos de 250k,Básico,Específica,Remoto,14,Dentro del mercado,1,70.0
24,261473,Menos de 250k,Alto,Específica,Remoto,9,Dentro del mercado,0,60.0
25,221241,Más de 1M,Básico,Específica,Presencial,3,Dentro del mercado,1,75.0
1,286766,Más de 1M,Básico,Generalista,Presencial,13,Alto,1,65.0
3,74445,Menos de 250k,Alto,Generalista,Remoto,8,Dentro del mercado,0,60.0
25,45338,Entre 250k y 1M,Experto,Específica,Híbrido,3,Bajo,1,60.0
18,560897,Más de 1M,Experto,Específica,Remoto,14,Alto,1,95.0
11,991671,Más de 1M,Básico,Específica,Presencial,19,Bajo,1,75.0
11,197838,Más de 1M,Básico,Generalista,Híbrido,17,Dentro del mercado,0,65.0
18,251721,Entre 250k y 1M,Experto,Generalista,Remoto,7,Bajo,0,70.0
14,193522,Menos de 250k,Básico,Generalista,Remoto,20,Dentro del mercado,1,60.0
29,753703,Menos de 250k,Experto,Generalista,Remoto,11,Alto,1,80.0
6,752830,Entre 250k y 1M,Básico,Específica,Híbrido,5,Bajo,1,50.0
21,916226,Entre 250k y 1M,Alto,Generalista,Presencial,12,Bajo,0,60.0
25,690069,Entre 250k y 1M,Básico,Generalista,Remoto,6,Dentro del mercado,1,70.0
19,600420,Más de 1M,Experto,Generalista,Remoto,6,Bajo,0,95.0
34,984110,Más de 1M,Experto,Específica,Híbrido,11,Bajo,1,85.0
28,275810,Menos de 250k,Experto,Generalista,Remoto,19,Dentro del mercado,0,80.0
15,946362,Menos de 250k,Alto,Generalista,Remoto,17,Dentro del mercado,0,70.0
33,848593,Menos de 250k,Alto,Específica,Remoto,6,Alto,1,60.0
31,754931,Menos de 250k,Experto,Específica,Remoto,20,Alto,1,80.0
23,295942,Menos de 250k,Experto,Específica,Presencial,18,Alto,1,70.0
14,282834,Más de 1M,Experto,Específica,Presencial,15,Alto,1,85.0
16,121186,Menos de 250k,Experto,Específica,Remoto,13,Alto,1,70.0
1,431244,Entre 250k y 1M,Básico,Específica,Presencial,12,Dentro del mercado,1,60.0
34,75306,Entre 250k y 1M,Básico,Específica,Presencial,3,Bajo,1,50.0
22,863622,Menos de 250k,Experto,Específica,Remoto,2,Bajo,0,80.0
6,964351,Menos de 250k,Básico,Generalista,Híbrido,10,Dentro del mercado,1,60.0
13,352320,Menos de 250k,Alto,Específica,Remoto,17,Alto,1,50.0
10,741873,Entre 250k y 1M,Básico,Generalista,Remoto,2,Dentro del mercado,1,70.0
13,648002,Más de 1M,Alto,Generalista,Híbrido,11,Bajo,0,65.0
4,450436,Entre 250k y 1M,Alto,Generalista,Presencial,12,Dentro del mercado,1,60.0
24,454447,Entre 250k y 1M,Alto,Generalista,Remoto,6,Dentro del mercado,0,60.0
10,798224,Menos de 250k,Experto,Generalista,Presencial,14,Alto,1,80.0
30,295811,Entre 250k y 1M,Alto,Generalista,Remoto,16,Alto,1,50.0
14,183263,Entre 250k y 1M,Experto,Generalista,Remoto,3,Bajo,0,70.0
2,897186,Menos de 250k,Alto,Específica,Híbrido,19,Alto,1,50.0
1,146893,Menos de 250k,Básico,Generalista,Presencial,8,Bajo,1,50.0
16,695826,Entre 250k y 1M,Experto,Específica,Presencial,7,Dentro del mercado,0,90.0
36,843339,Entre 250k y 1M,Experto,Generalista,Híbrido,7,Dentro del mercado,1,80.0
29,895327,Menos de 250k,Alto,Generalista,Híbrido,3,Alto,1,50.0
3,686301,Más de 1M,Básico,Generalista,Híbrido,16,Alto,0,65.0
12,790638,Entre 250k y 1M,Alto,Específica,Híbrido,12,Dentro del mercado,1,60.0
30,741265,Entre 250k y 1M,Básico,Específica,Remoto,3,Alto,1,60.0
29,823045,Más de 1M,Básico,Generalista,Presencial,11,Dentro del mercado,1,85.0
35,113588,Menos de 250k,Experto,Generalista,Híbrido,17,Alto,1,60.0
5,235205,Entre 250k y 1M,Alto,Específica,Presencial,17,Dentro del mercado,1,60.0
21,835669,Menos de 250k,Básico,Específica,Remoto,2,Alto,0,60.0
34,598455,Menos de 250k,Alto,Generalista,Remoto,7,Dentro del mercado,0,70.0
1,371575,Más de 1M,Alto,Generalista,Remoto,14,Dentro del mercado,1,75.0
8,433457,Más de 1M,Básico,Específica,Híbrido,14,Dentro del mercado,0,65.0
1,324777,Más de 1M,Básico,Generalista,Presencial,3,Alto,1,65.0
5,609900,Menos de 250k,Básico,Específica,Híbrido,18,Alto,0,50.0
7,974544,Más de 1M,Experto,Generalista,Remoto,16,Alto,0,95.0
23,408195,Menos de 250k,Básico,Generalista,Presencial,5,Alto,1,50.0
1,297774,Menos de 250k,Básico,Específica,Remoto,5,Bajo,0,50.0
16,609112,Entre 250k y 1M,Alto,Generalista,Híbrido,13,Alto,1,50.0
14,577584,Menos de 250k,Alto,Generalista,Híbrido,6,Alto,1,50.0
3,834469,Menos de 250k,Alto,Generalista,Remoto,10,Dentro del mercado,1,70.0
29,987863,Entre 250k y 1M,Básico,Específica,Remoto,3,Alto,0,60.0
1,892057,Entre 250k y 1M,Básico,Específica,Remoto,2,Alto,1,60.0
30,809592,Menos de 250k,Básico,Específica,Híbrido,4,Bajo,1,50.0
32,823006,Menos de 250k,Básico,Generalista,Remoto,7,Dentro del mercado,1,70.0
10,866491,Menos de 250k,Básico,Generalista,Remoto,14,Bajo,1,60.0
30,106703,Más de 1M,Experto,Generalista,Híbrido,13,Dentro del mercado,0,85.0
22,471571,Entre 250k y 1M,Básico,Específica,Híbrido,8,Bajo,1,40.0
21,858711,Más de 1M,Básico,Generalista,Presencial,2,Dentro del mercado,0,85.0
5,112214,Más de 1M,Experto,Generalista,Remoto,1,Dentro del mercado,1,95.0
27,697444,Entre 250k y 1M,Experto,Generalista,Presencial,8,Alto,1,80.0
17,98038,Menos de 250k,Alto,Generalista,Presencial,12,Dentro del mercado,1,60.0
2,32482,Entre 250k y 1M,Básico,Generalista,Híbrido,11,Alto,1,40.0
35,644780,Entre 250k y 1M,Básico,Específica,Remoto,10,Alto,1,60.0
1,903138,Menos de 250k,Experto,Específica,Híbrido,3,Dentro del mercado,1,80.0
24,898106,Menos de 250k,Alto,Específica,Presencial,3,Alto,1,60.0
27,917084,Menos de 250k,Experto,Específica,Presencial,9,Dentro del mercado,1,90.0
1,662403,Menos de 250k,Alto,Generalista,Presencial,19,Alto,1,60.0
26,534271,Menos de 250k,Básico,Generalista,Remoto,1,Bajo,1,60.0
36,215475,Entre 250k y 1M,Experto,Generalista,Remoto,19,Dentro del mercado,0,80.0
6,101642,Menos de 250k,Alto,Específica,Remoto,5,Bajo,1,50.0
28,948982,Menos de 250k,Experto,Generalista,Presencial,1,Alto,1,80.0
13,80514,Menos de 250k,Experto,Específica,Híbrido,13,Dentro del mercado,1,70.0
6,318936,Entre 250k y 1M,Alto,Específica,Remoto,8,Dentro del mercado,1,60.0
2,692051,Entre 250k y 1M,Alto,Generalista,Presencial,18,Bajo,0,60.0
17,564232,Menos de 250k,Alto,Generalista,Presencial,16,Dentro del mercado,0,70.0
20,331612,Menos de 250k,Básico,Generalista,Remoto,10,Dentro del mercado,0,60.0
36,654757,Más de 1M,Básico,Generalista,Presencial,9,Bajo,0,75.0
24,552897,Menos de 250k,Experto,Generalista,Remoto,9,Bajo,0,80.0
32,115190,Más de 1M,Alto,Generalista,Híbrido,20,Dentro del mercado,0,65.0
12,129078,Más de 1M,Básico,Específica,Presencial,19,Bajo,1,65.0
3,833945,Entre 250k y 1M,Experto,Específica,Remoto,17,Dentro del mercado,1,90.0
18,470078,Menos de 250k,Básico,Específica,Presencial,13,Bajo,0,50.0
1,942743,Más de 1M,Experto,Específica,Remoto,19,Dentro del mercado,0,100.0
7,606104,Más de 1M,Experto,Generalista,Híbrido,19,Dentro del mercado,0,95.0
15,814235,Menos de 250k,Experto,Generalista,Remoto,20,Alto,1,80.0
8,980869,Menos de 250k,Alto,Generalista,Presencial,13,Dentro del mercado,1,70.0
36,579469,Menos de 250k,Alto,Generalista,Híbrido,20,Dentro del mercado,0,60.0
30,970126,Menos de 250k,Experto,Generalista,Presencial,1,Alto,1,80.0
20,914366,Menos de 250k,Experto,Específica,Presencial,18,Bajo,1,80.0
6,763855,Más de 1M,Experto,Específica,Híbrido,8,Dentro del mercado,0,95.0
30,285462,Más de 1M,Experto,Específica,Remoto,1,Dentro del mercado,0,95.0
23,198724,Más de 1M,Alto,Generalista,Híbrido,2,Alto,0,55.0
5,830120,Más de 1M,Alto,Específica,Presencial,7,Bajo,0,75.0
2,482548,Menos de 250k,Experto,Generalista,Presencial,3,Alto,1,70.0
20,868814,Entre 250k y 1M,Básico,Generalista,Híbrido,2,Dentro del mercado,1,60.0
25,344544,Entre 250k y 1M,Experto,Específica,Presencial,14,Dentro del mercado,1,80.0
26,834294,Menos de 250k,Experto,Específica,Remoto,17,Bajo,1,80.0
32,130721,Entre 250k y 1M,Básico,Generalista,Remoto,12,Dentro del mercado,0,60.0
17,799052,Menos de 250k,Alto,Específica,Remoto,4,Dentro del mercado,1,70.0
9,275380,Más de 1M,Básico,Generalista,Híbrido,8,Dentro del mercado,0,65.0
6,689281,Entre 250k y 1M,Experto,Generalista,Híbrido,20,Alto,1,70.0
33,985755,Más de 1M,Básico,Generalista,Remoto,10,Alto,0,75.0
30,785276,Más de 1M,Alto,Específica,Presencial,15,Alto,1,75.0
4,349142,Más de 1M,Alto,Específica,Híbrido,19,Bajo,1,55.0
24,771179,Menos de 250k,Alto,Generalista,Presencial,3,Bajo,1,60.0
30,797429,Más de 1M,Básico,Generalista,Remoto,17,Bajo,1,75.0
4,350334,Menos de 250k,Básico,Generalista,Híbrido,2,Dentro del mercado,0,50.0
36,171886,Entre 250k y 1M,Alto,Específica,Remoto,17,Alto,0,50.0
33,422072,Menos de 250k,Alto,Generalista,Híbrido,1,Bajo,0,40.0
3,983991,Más de 1M,Alto,Generalista,Presencial,6,Bajo,1,75.0
15,279228,Menos de 250k,Básico,Generalista,Remoto,4,Dentro del mercado,1,60.0
18,518072,Más de 1M,Alto,Específica,Remoto,14,Dentro del mercado,0,85.0
31,355283,Entre 250k y 1M,Alto,Generalista,Presencial,8,Dentro del mercado,1,60.0
12,790808,Entre 250k y 1M,Básico,Generalista,Híbrido,9,Dentro del mercado,1,60.0
33,840604,Menos de 250k,Experto,Específica,Remoto,12,Bajo,0,80.0
23,471317,Menos de 250k,Experto,Específica,Presencial,8,Dentro del mercado,0,80.0
22,288284,Menos de 250k,Alto,Generalista,Híbrido,13,Dentro del mercado,1,50.0
13,836528,Entre 250k y 1M,Básico,Específica,Híbrido,19,Dentro del mercado,0,60.0
3,756908,Más de 1M,Alto,Generalista,Remoto,13,Dentro del mercado,0,85.0
19,387025,Menos de 250k,Alto,Específica,Híbrido,13,Alto,0,40.0
13,157654,Menos de 250k,Básico,Generalista,Híbrido,17,Alto,0,40.0
24,924557,Más de 1M,Alto,Específica,Presencial,12,Alto,0,75.0
25,827551,Más de 1M,Alto,Específica,Presencial,20,Dentro del mercado,1,85.0
11,522068,Más de 1M,Experto,Específica,Híbrido,7,Bajo,1,85.0
6,195783,Entre 250k y 1M,Experto,Generalista,Híbrido,16,Alto,0,60.0
26,64477,Más de 1M,Experto,Específica,Presencial,4,Dentro del mercado,1,95.0
4,690804,Menos de 250k,Alto,Generalista,Remoto,3,Dentro del mercado,1,70.0
2,856665,Más de 1M,Básico,Generalista,Remoto,20,Alto,0,75.0
10,367288,Más de 1M,Alto,Específica,Remoto,19,Bajo,1,65.0
23,972957,Entre 250k y 1M,Alto,Específica,Híbrido,4,Bajo,0,50.0
22,953724,Menos de 250k,Experto,Específica,Remoto,5,Bajo,0,80.0
8,846770,Menos de 250k,Experto,Específica,Remoto,9,Dentro del mercado,0,90.0
25,228955,Más de 1M,Experto,Generalista,Remoto,12,Alto,1,85.0
7,222284,Entre 250k y 1M,Experto,Generalista,Remoto,20,Alto,0,70.0
9,316720,Menos de 250k,Experto,Generalista,Remoto,7,Dentro del mercado,0,80.0
4,85687,Entre 250k y 1M,Experto,Específica,Presencial,11,Bajo,0,70.0
27,50599,Entre 250k y 1M,Experto,Generalista,Híbrido,13,Bajo,1,60.0
34,796235,Más de 1M,Básico,Generalista,Híbrido,19,Bajo,0,65.0
7,643973,Entre 250k y 1M,Experto,Generalista,Híbrido,11,Bajo,0,70.0
7,827592,Menos de 250k,Experto,Específica,Híbrido,8,Alto,1,70.0
25,697976,Entre 250k y 1M,Experto,Generalista,Presencial,13,Bajo,1,80.0
6,184761,Entre 250k y 1M,Experto,Específica,Híbrido,5,Alto,0,60.0
29,983486,Entre 250k y 1M,Experto,Específica,Remoto,12,Bajo,0,80.0
9,335343,Menos de 250k,Alto,Específica,Remoto,3,Bajo,0,50.0
21,689252,Menos de 250k,Alto,Generalista,Remoto,13,Dentro del mercado,1,70.0
30,818857,Entre 250k y 1M,Experto,Generalista,Remoto,5,Bajo,1,80.0
17,540487,Más de 1M,Alto,Específica,Presencial,4,Alto,1,75.0
7,31769,Entre 250k y 1M,Experto,Específica,Presencial,20,Alto,1,70.0
33,499802,Menos de 250k,Alto,Generalista,Remoto,9,Bajo,1,50.0
21,807712,Más de 1M,Experto,Generalista,Presencial,2,Bajo,1,95.0
36,103695,Más de 1M,Básico,Generalista,Híbrido,8,Bajo,0,55.0
10,199130,Más de 1M,Básico,Específica,Híbrido,10,Dentro del mercado,1,65.0
22,904515,Menos de 250k,Experto,Específica,Remoto,19,Bajo,0,80.0
23,597643,Menos de 250k,Básico,Específica,Presencial,15,Bajo,0,60.0
13,308165,Más de 1M,Básico,Específica,Presencial,6,Alto,0,65.0
18,673613,Menos de 250k,Experto,Generalista,Remoto,1,Dentro del mercado,0,90.0
19,902331,Menos de 250k,Básico,Específica,Híbrido,6,Bajo,1,50.0
24,27343,Entre 250k y 1M,Básico,Específica,Remoto,8,Alto,1,50.0
26,43312,Entre 250k y 1M,Experto,Específica,Remoto,6,Dentro del mercado,1,80.0
1,984903,Entre 250k y 1M,Alto,Generalista,Remoto,10,Alto,0,60.0
2,721174,Entre 250k y 1M,Básico,Específica,Remoto,4,Alto,1,60.0
32,84682,Menos de 250k,Básico,Generalista,Híbrido,13,Bajo,0,40.0
28,288192,Menos de 250k,Experto,Específica,Híbrido,16,Bajo,0,60.0
17,210174,Entre 250k y 1M,Experto,Específica,Remoto,3,Dentro del mercado,1,80.0
16,347713,Menos de 250k,Alto,Específica,Remoto,4,Alto,1,50.0
27,547438,Menos de 250k,Básico,Generalista,Presencial,7,Bajo,1,60.0
26,599593,Más de 1M,Básico,Específica,Remoto,6,Dentro del mercado,1,85.0
10,995567,Entre 250k y 1M,Básico,Generalista,Remoto,20,Bajo,1,60.0
4,852146,Menos de 250k,Básico,Específica,Híbrido,6,Dentro del mercado,0,60.0
15,641108,Más de 1M,Alto,Específica,Remoto,8,Bajo,1,75.0
35,582460,Menos de 250k,Básico,Generalista,Presencial,16,Alto,1,60.0
35,151169,Entre 250k y 1M,Alto,Específica,Presencial,10,Alto,1,50.0
20,290662,Menos de 250k,Básico,Específica,Presencial,20,Bajo,1,50.0
32,153368,Menos de 250k,Básico,Generalista,Híbrido,7,Dentro del mercado,0,50.0
3,664246,Entre 250k y 1M,Experto,Específica,Remoto,5,Bajo,1,80.0
14,735830,Más de 1M,Básico,Generalista,Remoto,18,Dentro del mercado,0,85.0
7,567937,Entre 250k y 1M,Experto,Generalista,Híbrido,19,Alto,1,70.0
13,477769,Entre 250k y 1M,Básico,Generalista,Híbrido,6,Dentro del mercado,0,50.0
19,34241,Menos de 250k,Básico,Específica,Presencial,15,Alto,1,50.0
16,527826,Entre 250k y 1M,Básico,Específica,Híbrido,7,Bajo,1,50.0
36,335121,Entre 250k y 1M,Experto,Generalista,Remoto,11,Alto,0,70.0
29,545258,Menos de 250k,Alto,Específica,Híbrido,7,Alto,1,50.0
21,263944,Entre 250k y 1M,Alto,Específica,Híbrido,9,Alto,0,40.0
20,386360,Más de 1M,Básico,Generalista,Presencial,6,Dentro del mercado,0,75.0
23,471514,Entre 250k y 1M,Alto,Generalista,Remoto,4,Dentro del mercado,0,60.0
